[2023-07-17T20:28:11Z INFO  dt_instance] Current Twin: mc-twin-2
[2023-07-17T20:32:22Z INFO  dt_instance] received at 2023-07-17 20:32:22.899477438 UTC - from mc-2->source-1 "178" 20:32:22.896249764
[2023-07-17T20:32:25Z INFO  dt_instance] received at 2023-07-17 20:32:25.403195991 UTC - from mc-2->source-3 "178" 20:32:25.402281127
[2023-07-17T20:32:27Z INFO  dt_instance] received at 2023-07-17 20:32:27.907803119 UTC - from mc-2->source-1 "188" 20:32:27.906904764
[2023-07-17T20:32:30Z INFO  dt_instance] received at 2023-07-17 20:32:30.414251937 UTC - from mc-2->source-1 "193" 20:32:30.413244761
[2023-07-17T20:32:32Z INFO  dt_instance] received at 2023-07-17 20:32:32.922454260 UTC - from mc-2->source-3 "193" 20:32:32.919900196
[2023-07-17T20:32:35Z INFO  dt_instance] received at 2023-07-17 20:32:35.428842463 UTC - from mc-2->source-3 "198" 20:32:35.427885516
[2023-07-17T20:32:37Z INFO  dt_instance] received at 2023-07-17 20:32:37.935825947 UTC - from mc-2->source-3 "203" 20:32:37.935041825
[2023-07-17T20:32:40Z INFO  dt_instance] received at 2023-07-17 20:32:40.440638532 UTC - from mc-2->source-3 "208" 20:32:40.439806857
[2023-07-17T20:32:42Z INFO  dt_instance] received at 2023-07-17 20:32:42.946673613 UTC - from mc-2->source-3 "213" 20:32:42.945555138
[2023-07-17T20:32:45Z INFO  dt_instance] received at 2023-07-17 20:32:45.451762799 UTC - from mc-2->source-3 "218" 20:32:45.450851558
[2023-07-17T20:32:47Z INFO  dt_instance] received at 2023-07-17 20:32:47.957212185 UTC - from mc-2->source-3 "223" 20:32:47.956176741
[2023-07-17T20:32:50Z INFO  dt_instance] received at 2023-07-17 20:32:50.463813420 UTC - from mc-2->source-3 "228" 20:32:50.462922642
[2023-07-17T20:32:52Z INFO  dt_instance] received at 2023-07-17 20:32:52.969892277 UTC - from mc-2->source-3 "233" 20:32:52.968987582
[2023-07-17T20:32:55Z INFO  dt_instance] received at 2023-07-17 20:32:55.491291509 UTC - from mc-2->source-1 "243" 20:32:55.479724663
[2023-07-17T20:32:57Z INFO  dt_instance] received at 2023-07-17 20:32:57.986407192 UTC - from mc-2->source-5 "238" 20:32:57.985304726
[2023-07-17T20:33:00Z INFO  dt_instance] received at 2023-07-17 20:33:00.495309211 UTC - from mc-2->source-5 "243" 20:33:00.493886972
[2023-07-17T20:33:03Z INFO  dt_instance] received at 2023-07-17 20:33:03.002067445 UTC - from mc-2->source-5 "248" 20:33:03.000985245
[2023-07-17T20:33:05Z INFO  dt_instance] received at 2023-07-17 20:33:05.506611340 UTC - from mc-2->source-5 "253" 20:33:05.505808701
[2023-07-17T20:33:08Z INFO  dt_instance] received at 2023-07-17 20:33:08.012643861 UTC - from mc-2->source-5 "258" 20:33:08.011557647
[2023-07-17T20:33:10Z INFO  dt_instance] received at 2023-07-17 20:33:10.522878591 UTC - from mc-2->source-1 "273" 20:33:10.520917249
[2023-07-17T20:33:13Z INFO  dt_instance] received at 2023-07-17 20:33:13.028710994 UTC - from mc-2->source-3 "273" 20:33:13.027276173
[2023-07-17T20:33:15Z INFO  dt_instance] received at 2023-07-17 20:33:15.535518282 UTC - from mc-2->source-3 "278" 20:33:15.534443034
[2023-07-17T20:33:18Z INFO  dt_instance] received at 2023-07-17 20:33:18.043351002 UTC - from mc-2->source-1 "288" 20:33:18.041037580
[2023-07-17T20:33:20Z INFO  dt_instance] received at 2023-07-17 20:33:20.550134633 UTC - from mc-2->source-1 "293" 20:33:20.549008029
[2023-07-17T20:33:23Z INFO  dt_instance] received at 2023-07-17 20:33:23.055530227 UTC - from mc-2->source-1 "298" 20:33:23.054682843
[2023-07-17T20:33:25Z INFO  dt_instance] received at 2023-07-17 20:33:25.563048707 UTC - from mc-2->source-1 "303" 20:33:25.558877141
[2023-07-17T20:33:28Z INFO  dt_instance] received at 2023-07-17 20:33:28.065109921 UTC - from mc-2->source-1 "308" 20:33:28.064154522
[2023-07-17T20:33:30Z INFO  dt_instance] received at 2023-07-17 20:33:30.574136601 UTC - from mc-2->source-1 "313" 20:33:30.572548535
[2023-07-17T20:33:33Z INFO  dt_instance] received at 2023-07-17 20:33:33.080494992 UTC - from mc-2->source-5 "308" 20:33:33.079335611
[2023-07-17T20:33:35Z INFO  dt_instance] received at 2023-07-17 20:33:35.585682430 UTC - from mc-2->source-5 "313" 20:33:35.584885562
[2023-07-17T20:33:38Z INFO  dt_instance] received at 2023-07-17 20:33:38.092499207 UTC - from mc-2->source-1 "328" 20:33:38.090030488
[2023-07-17T20:33:40Z INFO  dt_instance] received at 2023-07-17 20:33:40.597054519 UTC - from mc-2->source-1 "333" 20:33:40.595529290
[2023-07-17T20:33:43Z INFO  dt_instance] received at 2023-07-17 20:33:43.105753747 UTC - from mc-2->source-1 "338" 20:33:43.102609740
[2023-07-17T20:33:45Z INFO  dt_instance] received at 2023-07-17 20:33:45.609268850 UTC - from mc-2->source-5 "333" 20:33:45.608019180
[2023-07-17T20:33:48Z INFO  dt_instance] received at 2023-07-17 20:33:48.115278554 UTC - from mc-2->source-5 "338" 20:33:48.113933637
[2023-07-17T20:33:50Z INFO  dt_instance] received at 2023-07-17 20:33:50.621676945 UTC - from mc-2->source-1 "353" 20:33:50.620438731
[2023-07-17T20:33:53Z INFO  dt_instance] received at 2023-07-17 20:33:53.127594055 UTC - from mc-2->source-1 "358" 20:33:53.126767899
[2023-07-17T20:33:55Z INFO  dt_instance] received at 2023-07-17 20:33:55.634475506 UTC - from mc-2->source-1 "363" 20:33:55.633719341
[2023-07-17T20:33:58Z INFO  dt_instance] received at 2023-07-17 20:33:58.142018137 UTC - from mc-2->source-1 "368" 20:33:58.140867351
[2023-07-17T20:34:00Z INFO  dt_instance] received at 2023-07-17 20:34:00.648324280 UTC - from mc-2->source-1 "373" 20:34:00.647406145
[2023-07-17T20:34:03Z INFO  dt_instance] received at 2023-07-17 20:34:03.154076774 UTC - from mc-2->source-1 "378" 20:34:03.153244344
[2023-07-17T20:34:05Z INFO  dt_instance] received at 2023-07-17 20:34:05.659765649 UTC - from mc-2->source-1 "383" 20:34:05.658744155
[2023-07-17T20:34:08Z INFO  dt_instance] received at 2023-07-17 20:34:08.166721834 UTC - from mc-2->source-1 "388" 20:34:08.165766014
[2023-07-17T20:34:10Z INFO  dt_instance] received at 2023-07-17 20:34:10.672166603 UTC - from mc-2->source-1 "393" 20:34:10.670987021
[2023-07-17T20:34:13Z INFO  dt_instance] received at 2023-07-17 20:34:13.177602183 UTC - from mc-2->source-1 "398" 20:34:13.176479991
