"Time","emqx-2","emqx-1","emqx-0","emqx-3","Used Memory"
2023-06-22 15:53:45,,,1.68 GB,,1.68 GB
2023-06-22 15:54:00,1.50 GB,1.68 GB,1.65 GB,1.72 GB,6.55 GB
2023-06-22 15:54:15,1.49 GB,1.67 GB,1.64 GB,1.68 GB,6.48 GB
2023-06-22 15:54:30,1.49 GB,1.67 GB,1.64 GB,1.67 GB,6.47 GB
2023-06-22 15:54:45,1.49 GB,1.67 GB,1.64 GB,1.68 GB,6.47 GB
2023-06-22 15:55:00,1.49 GB,1.67 GB,1.64 GB,1.68 GB,6.48 GB
2023-06-22 15:55:15,1.49 GB,1.67 GB,1.65 GB,1.68 GB,6.48 GB
2023-06-22 15:55:30,1.49 GB,1.67 GB,1.65 GB,1.68 GB,6.49 GB
2023-06-22 15:55:45,1.49 GB,1.68 GB,1.65 GB,1.68 GB,6.49 GB
2023-06-22 15:56:00,1.49 GB,1.67 GB,1.65 GB,1.68 GB,6.48 GB
2023-06-22 15:56:15,1.49 GB,1.67 GB,1.65 GB,1.68 GB,6.49 GB
2023-06-22 15:56:30,1.49 GB,1.68 GB,1.65 GB,1.68 GB,6.50 GB
2023-06-22 15:56:45,1.49 GB,1.68 GB,1.65 GB,1.68 GB,6.51 GB
2023-06-22 15:57:00,1.49 GB,1.68 GB,1.65 GB,1.68 GB,6.50 GB
2023-06-22 15:57:15,1.49 GB,1.68 GB,1.66 GB,1.67 GB,6.51 GB
2023-06-22 15:57:30,1.49 GB,1.69 GB,1.66 GB,1.68 GB,6.52 GB
2023-06-22 15:57:45,1.50 GB,1.69 GB,1.66 GB,1.68 GB,6.53 GB
2023-06-22 15:58:00,1.51 GB,1.70 GB,1.67 GB,1.69 GB,6.57 GB
2023-06-22 15:58:15,1.51 GB,1.70 GB,1.69 GB,1.71 GB,6.62 GB
2023-06-22 15:58:30,1.54 GB,1.73 GB,1.70 GB,1.71 GB,6.68 GB
2023-06-22 15:58:45,1.54 GB,1.73 GB,1.71 GB,1.72 GB,6.69 GB
2023-06-22 15:59:00,1.56 GB,1.75 GB,1.71 GB,1.73 GB,6.75 GB
2023-06-22 15:59:15,1.57 GB,1.75 GB,1.72 GB,1.74 GB,6.78 GB
2023-06-22 15:59:30,1.58 GB,1.77 GB,1.73 GB,1.75 GB,6.83 GB
