"Time","emqx-0","emqx-1","emqx-2","Used Memory"
2023-06-27 15:19:00,2.25 GB,2.93 GB,2.65 GB,7.84 GB
2023-06-27 15:19:15,2.26 GB,2.91 GB,2.65 GB,7.82 GB
2023-06-27 15:19:30,2.25 GB,2.92 GB,2.66 GB,7.84 GB
2023-06-27 15:19:45,2.25 GB,2.92 GB,2.65 GB,7.83 GB
2023-06-27 15:20:00,2.25 GB,2.92 GB,2.65 GB,7.83 GB
2023-06-27 15:20:15,2.26 GB,2.92 GB,2.66 GB,7.84 GB
2023-06-27 15:20:30,2.27 GB,2.92 GB,2.65 GB,7.84 GB
2023-06-27 15:20:45,2.29 GB,2.92 GB,2.66 GB,7.87 GB
2023-06-27 15:21:00,2.29 GB,2.91 GB,2.66 GB,7.86 GB
2023-06-27 15:21:15,2.29 GB,2.91 GB,2.66 GB,7.86 GB
2023-06-27 15:21:30,2.29 GB,2.92 GB,2.66 GB,7.87 GB
2023-06-27 15:21:45,2.29 GB,2.92 GB,2.66 GB,7.87 GB
2023-06-27 15:22:00,2.29 GB,2.92 GB,2.66 GB,7.87 GB
2023-06-27 15:22:15,2.29 GB,2.92 GB,2.67 GB,7.88 GB
2023-06-27 15:22:30,2.28 GB,2.92 GB,2.67 GB,7.87 GB
2023-06-27 15:22:45,2.29 GB,2.92 GB,2.66 GB,7.87 GB
2023-06-27 15:23:00,2.29 GB,2.92 GB,2.66 GB,7.86 GB
2023-06-27 15:23:15,2.29 GB,2.93 GB,2.66 GB,7.88 GB
2023-06-27 15:23:30,2.29 GB,2.92 GB,2.65 GB,7.86 GB
2023-06-27 15:23:45,2.29 GB,2.92 GB,2.67 GB,7.88 GB
2023-06-27 15:24:00,2.29 GB,2.92 GB,2.66 GB,7.87 GB
2023-06-27 15:24:15,2.29 GB,2.93 GB,2.66 GB,7.87 GB
2023-06-27 15:24:30,2.29 GB,2.92 GB,2.67 GB,7.87 GB
2023-06-27 15:24:45,2.29 GB,2.91 GB,2.66 GB,7.86 GB
