"Time","emqx-0","emqx-1","emqx-2","Total"
2023-06-27 15:25:30,4370586,4842236,1974486,11187308
2023-06-27 15:25:45,4387047,4857822,1985151,11230020
2023-06-27 15:26:00,4415616,4885549,1990470,11291635
2023-06-27 15:26:15,4429119,4898259,2001130,11328508
2023-06-27 15:26:30,4450686,4921462,2006462,11378610
2023-06-27 15:26:45,4460141,4932263,2017116,11409520
2023-06-27 15:27:00,4477880,4950118,2022444,11450442
2023-06-27 15:27:15,4486522,4958117,2033104,11477743
2023-06-27 15:27:30,4502348,4974111,2038439,11514898
2023-06-27 15:27:45,4508759,4982111,2049099,11539969
2023-06-27 15:28:00,4520011,4998078,2054429,11572518
2023-06-27 15:28:15,4525337,5006081,2065055,11596473
2023-06-27 15:28:30,4536001,5022037,2069917,11627955
2023-06-27 15:28:45,4541327,5030038,2078269,11649634
2023-06-27 15:29:00,4551965,5046030,2082254,11680249
2023-06-27 15:29:15,4556923,5054025,2090236,11701184
2023-06-27 15:29:30,4565355,5070021,2094247,11729623
2023-06-27 15:29:45,4569348,5078016,2102233,11749597
2023-06-27 15:30:00,4577351,5092912,2106234,11776497
2023-06-27 15:30:15,4581348,5099632,2114233,11795213
2023-06-27 15:30:30,4589341,5112793,2118231,11820365
2023-06-27 15:30:45,4593335,5118818,2126233,11838386
2023-06-27 15:31:00,4601323,5129620,2130219,11861162
2023-06-27 15:31:15,4605320,5134890,2138215,11878425
2023-06-27 15:31:30,4613321,5144023,2142213,11899557
2023-06-27 15:31:45,4617314,5148017,2150201,11915532
2023-06-27 15:32:00,4625106,5156019,2154203,11935328
2023-06-27 15:32:15,4628349,5160015,2162199,11950563
2023-06-27 15:32:30,4633785,5168018,2166189,11967992
2023-06-27 15:32:45,4636383,5172015,2174183,11982581
2023-06-27 15:33:00,4640117,5180018,2178184,11998319
2023-06-27 15:33:15,4641449,5184001,2186175,12011625
2023-06-27 15:33:30,4644117,5191525,2190183,12025825
2023-06-27 15:33:45,4645449,5194549,2198166,12038164
2023-06-27 15:34:00,4648117,5199876,2202169,12050162
2023-06-27 15:34:15,4649258,5202542,2210156,12061956
2023-06-27 15:34:30,4650000,5207870,2214155,12072025
2023-06-27 15:34:45,4650000,5210536,2222146,12082682
2023-06-27 15:35:00,4650000,5215869,2225797,12091666
2023-06-27 15:35:15,4650000,5218532,2231620,12100152
2023-06-27 15:35:30,4650000,5223868,2234286,12108154
2023-06-27 15:35:45,4650000,5226532,2238824,12115356
2023-06-27 15:36:00,4650000,5231857,2240318,12122175
2023-06-27 15:36:15,4650000,5234521,2242984,12127505
2023-06-27 15:36:30,4650000,5238963,2244318,12133281
2023-06-27 15:36:45,4650000,5240416,2246984,12137400
2023-06-27 15:37:00,4650000,5243083,2248317,12141400
2023-06-27 15:37:15,4650000,5244416,2249931,12144347
2023-06-27 15:37:30,4650000,5247083,2250000,12147083
2023-06-27 15:37:45,4650000,5248416,2250000,12148416
2023-06-27 15:38:00,4650000,5249949,2250000,12149949
2023-06-27 15:38:15,4650000,5250000,2250000,12150000

