"Time","total","emqx-0"
2023-06-27 20:34:45,5,5
2023-06-27 20:35:00,5,5
2023-06-27 20:35:15,8,8
2023-06-27 20:35:30,9,9
2023-06-27 20:35:45,12,12
2023-06-27 20:36:00,13,13
2023-06-27 20:36:15,16,16
2023-06-27 20:36:30,18,18
2023-06-27 20:36:45,20,20
2023-06-27 20:37:00,22,22
2023-06-27 20:37:15,24,24
2023-06-27 20:37:30,25,25
2023-06-27 20:37:45,29,29
2023-06-27 20:38:00,29,29
2023-06-27 20:38:15,34,34
2023-06-27 20:38:30,34,34
2023-06-27 20:38:45,37,37
2023-06-27 20:39:00,37,37
2023-06-27 20:39:15,42,42
2023-06-27 20:39:30,42,42
2023-06-27 20:39:45,46,46
2023-06-27 20:40:00,46,46
2023-06-27 20:40:15,49,49
2023-06-27 20:40:30,50,50
2023-06-27 20:40:45,53,53
2023-06-27 20:41:00,54,54
2023-06-27 20:41:15,58,58
2023-06-27 20:41:30,58,58
2023-06-27 20:41:45,61,61
2023-06-27 20:42:00,62,62
2023-06-27 20:42:15,64,64
2023-06-27 20:42:30,64,64
2023-06-27 20:42:45,67,67
2023-06-27 20:43:00,67,67
2023-06-27 20:43:15,67,67
2023-06-27 20:43:30,67,67
2023-06-27 20:43:45,69,69
2023-06-27 20:44:00,69,69
2023-06-27 20:44:15,70,70
2023-06-27 20:44:30,70,70
2023-06-27 20:44:45,71,71
2023-06-27 20:45:00,72,72
2023-06-27 20:45:15,72,72
2023-06-27 20:45:30,73,73
2023-06-27 20:45:45,73,73
2023-06-27 20:46:00,73,73
2023-06-27 20:46:15,73,73
2023-06-27 20:46:30,74,74
2023-06-27 20:46:45,74,74
2023-06-27 20:47:00,74,74
2023-06-27 20:47:15,75,75
2023-06-27 20:47:30,75,75
2023-06-27 20:47:45,75,75
2023-06-27 20:48:00,75,75
2023-06-27 20:48:15,75,75
2023-06-27 20:48:30,75,75
2023-06-27 20:48:45,75,75
2023-06-27 20:49:00,75,75
2023-06-27 20:49:15,75,75
2023-06-27 20:49:30,75,75
2023-06-27 20:49:45,75,75
2023-06-27 20:50:00,75,75
2023-06-27 20:50:15,75,75
2023-06-27 20:50:30,75,75
2023-06-27 20:50:45,75,75
2023-06-27 20:51:00,75,75
2023-06-27 20:51:15,75,75
2023-06-27 20:51:30,75,75
2023-06-27 20:51:45,75,75
2023-06-27 20:52:00,75,75
2023-06-27 20:52:15,75,75
2023-06-27 20:52:30,75,75
2023-06-27 20:52:45,75,75
2023-06-27 20:53:00,75,75
2023-06-27 20:53:15,75,75
2023-06-27 20:53:30,75,75
2023-06-27 20:53:45,75,75
2023-06-27 20:54:00,75,75
2023-06-27 20:54:15,75,75
2023-06-27 20:54:30,75,75
2023-06-27 20:54:45,75,75
2023-06-27 20:55:00,75,75
2023-06-27 20:55:15,75,75
2023-06-27 20:55:30,75,75
2023-06-27 20:55:45,75,75
2023-06-27 20:56:00,75,75
2023-06-27 20:56:15,75,75
2023-06-27 20:56:30,75,75
2023-06-27 20:56:45,75,75
2023-06-27 20:57:00,75,75
2023-06-27 20:57:15,75,75
2023-06-27 20:57:30,75,75
2023-06-27 20:57:45,75,75
2023-06-27 20:58:00,75,75
2023-06-27 20:58:15,75,75
2023-06-27 20:58:30,75,75
2023-06-27 20:58:45,75,75
2023-06-27 20:59:00,75,75
2023-06-27 20:59:15,75,75
2023-06-27 20:59:30,75,75
2023-06-27 20:59:45,75,75
2023-06-27 21:00:00,75,75
2023-06-27 21:00:15,75,75
2023-06-27 21:00:30,75,75
2023-06-27 21:00:45,75,75
2023-06-27 21:01:00,75,75
2023-06-27 21:01:15,75,75
2023-06-27 21:01:30,75,75
2023-06-27 21:01:45,75,75
2023-06-27 21:02:00,75,75
2023-06-27 21:02:15,75,75
2023-06-27 21:02:30,75,75
2023-06-27 21:02:45,75,75
2023-06-27 21:03:00,75,75
2023-06-27 21:03:15,75,75
2023-06-27 21:03:30,75,75
2023-06-27 21:03:45,75,75
2023-06-27 21:04:00,75,75
2023-06-27 21:04:15,75,75
2023-06-27 21:04:30,75,75
2023-06-27 21:04:45,75,75
2023-06-27 21:05:00,75,75
2023-06-27 21:05:15,75,75
2023-06-27 21:05:30,75,75
2023-06-27 21:05:45,75,75
2023-06-27 21:06:00,75,75
2023-06-27 21:06:15,75,75
2023-06-27 21:06:30,75,75
2023-06-27 21:06:45,75,75
2023-06-27 21:07:00,75,75
2023-06-27 21:07:15,75,75
2023-06-27 21:07:30,75,75
2023-06-27 21:07:45,75,75
2023-06-27 21:08:00,75,75
2023-06-27 21:08:15,75,75
2023-06-27 21:08:30,75,75
2023-06-27 21:08:45,75,75
2023-06-27 21:09:00,75,75
2023-06-27 21:09:15,75,75
2023-06-27 21:09:30,75,75
2023-06-27 21:09:45,75,75
2023-06-27 21:10:00,75,75
2023-06-27 21:10:15,75,75
2023-06-27 21:10:30,75,75
2023-06-27 21:10:45,75,75
2023-06-27 21:11:00,75,75
2023-06-27 21:11:15,75,75
2023-06-27 21:11:30,75,75

