"Time","emqx-0","emqx-1","emqx-2"
2023-06-27 14:59:45,0,0,0
2023-06-27 15:00:00,0,0,0
2023-06-27 15:00:15,0,0,0
2023-06-27 15:00:30,0,0,0
2023-06-27 15:00:45,0,0,0
2023-06-27 15:01:00,0,0,0
2023-06-27 15:01:15,0,0,0
2023-06-27 15:01:30,8,0,0
2023-06-27 15:01:45,8,0,2
2023-06-27 15:02:00,14,2,2
2023-06-27 15:02:15,16,2,5
2023-06-27 15:02:30,34,7,5
2023-06-27 15:02:45,1251,755,3941
2023-06-27 15:03:00,10259,4168,7544
2023-06-27 15:03:15,17257,6782,16819
2023-06-27 15:03:30,40357,16627,23291
2023-06-27 15:03:45,54438,23375,40124
2023-06-27 15:04:00,88473,44007,50500
2023-06-27 15:04:15,107603,55786,74173
2023-06-27 15:04:30,152791,86741,88219
2023-06-27 15:04:45,177405,104576,118189
2023-06-27 15:05:00,233300,146513,134539
2023-06-27 15:05:15,264231,170520,169518
2023-06-27 15:05:30,330245,224641,188427
2023-06-27 15:05:45,366201,255165,229966
2023-06-27 15:06:00,440421,323279,252370
2023-06-27 15:06:15,478926,361597,301053
2023-06-27 15:06:30,559287,444678,327248
2023-06-27 15:06:45,601702,489044,385031
2023-06-27 15:07:00,691234,581623,415501
2023-06-27 15:07:15,738555,631516,480544
2023-06-27 15:07:30,837961,736538,515466
2023-06-27 15:07:45,889022,790462,590807
2023-06-27 15:08:00,999077,901954,631599
2023-06-27 15:08:15,1056044,959775,717358
2023-06-27 15:08:30,1174104,1083841,762128
2023-06-27 15:08:45,1234902,1149235,854005
2023-06-27 15:09:00,1362949,1285999,901580
2023-06-27 15:09:15,1429449,1357227,999027
2023-06-27 15:09:30,1569699,1505159,1049107
2023-06-27 15:09:45,1643300,1581399,1151850
2023-06-27 15:10:00,1795062,1739341,1204526
2023-06-27 15:10:15,1872983,1821444,1314132
2023-06-27 15:10:30,2030208,1986995,1369315
2023-06-27 15:10:45,2111312,2070943,1482917
2023-06-27 15:11:00,2273965,2238932,1540887
2023-06-27 15:11:15,2355146,2323100,1657360
2023-06-27 15:11:30,2517357,2492455,1715592
2023-06-27 15:11:45,2599083,2578686,1833027
2023-06-27 15:12:00,2761999,2751090,1891566
2023-06-27 15:12:15,2843403,2837658,2010490
2023-06-27 15:12:30,3006436,3010942,2070771
2023-06-27 15:12:45,3088268,3098257,2192061
2023-06-27 15:13:00,3251725,3273437,2252592
2023-06-27 15:13:15,3333952,3362044,2374402
2023-06-27 15:13:30,3498034,3539227,2435378
2023-06-27 15:13:45,3580297,3627971,2557712
2023-06-27 15:14:00,3744212,3804857,2618338
2023-06-27 15:14:15,3826267,3893522,2740054
2023-06-27 15:14:30,3991065,4070744,2800818
2023-06-27 15:14:45,4073612,4159033,2922581
2023-06-27 15:15:00,4238403,4335181,2983211
2023-06-27 15:15:15,4321001,4423537,3105353
2023-06-27 15:15:30,4485889,4599923,3166470
2023-06-27 15:15:45,4568433,4687843,3288888
2023-06-27 15:16:00,4733146,4863485,3349888
2023-06-27 15:16:15,4815705,4951469,3472252
2023-06-27 15:16:30,4980180,5126944,3532847
2023-06-27 15:16:45,5062623,5214847,3653988
2023-06-27 15:17:00,5227169,5390333,3714360
2023-06-27 15:17:15,5309555,5478154,3835441
2023-06-27 15:17:30,5473437,5653087,3895669
2023-06-27 15:17:45,5555481,5740636,4016546
2023-06-27 15:18:00,5719196,5915516,4076779
2023-06-27 15:18:15,5801015,6003035,4197472
2023-06-27 15:18:30,5963795,6177502,4257604
2023-06-27 15:18:45,6045352,6264897,4378208
2023-06-27 15:19:00,6208027,6439309,4438299
2023-06-27 15:19:15,6289450,6526603,4558127
2023-06-27 15:19:30,6450594,6700179,4617568
2023-06-27 15:19:45,6529190,6786219,4731501
2023-06-27 15:20:00,6681589,6955839,4787213
2023-06-27 15:20:15,6753912,7038631,4896600
2023-06-27 15:20:30,6893559,7200871,4949912
2023-06-27 15:20:45,6961343,7279717,5053782
2023-06-27 15:21:00,7092268,7431505,5103946
2023-06-27 15:21:15,7155962,7505753,5202025
2023-06-27 15:21:30,7278837,7646693,5249682
2023-06-27 15:21:45,7338468,7715460,5343486
2023-06-27 15:22:00,7451409,7846982,5388725
2023-06-27 15:22:15,7506122,7910204,5478104
2023-06-27 15:22:30,7611113,8031202,5521082
2023-06-27 15:22:45,7661509,8089435,5604028
2023-06-27 15:23:00,7759209,8199735,5643726
2023-06-27 15:23:15,7806548,8251910,5720379
2023-06-27 15:23:30,7897300,8352215,5757654
2023-06-27 15:23:45,7940299,8400278,5825684
2023-06-27 15:24:00,8023347,8493151,5857736
2023-06-27 15:24:15,8063530,8536343,5917252
2023-06-27 15:24:30,8141881,8619752,5944362
2023-06-27 15:24:45,8179101,8660037,5993937
2023-06-27 15:25:00,8248785,8736404,6016902
2023-06-27 15:25:15,8282160,8772006,6060659
2023-06-27 15:25:30,8345044,8835642,6081161
2023-06-27 15:25:45,8375521,8865465,6120559
2023-06-27 15:26:00,8429177,8919215,6138639
2023-06-27 15:26:15,8454636,8944517,6173837
2023-06-27 15:26:30,8497621,8989675,6189823
2023-06-27 15:26:45,8517224,9011051,6221065
2023-06-27 15:27:00,8553632,9047778,6235582
2023-06-27 15:27:15,8571390,9065021,6264425
2023-06-27 15:27:30,8604818,9098234,6278389
2023-06-27 15:27:45,8619837,9114504,6305617
2023-06-27 15:28:00,8647430,9146015,6318808
2023-06-27 15:28:15,8660983,9161916,6345450
2023-06-27 15:28:30,8687571,9192875,6357996
2023-06-27 15:28:45,8700757,9208310,6381697
2023-06-27 15:29:00,8726717,9238589,6393100
2023-06-27 15:29:15,8739379,9253791,6415985
2023-06-27 15:29:30,8762377,9283320,6427029
2023-06-27 15:29:45,8773718,9298255,6449364
2023-06-27 15:30:00,8795844,9326204,6460163
2023-06-27 15:30:15,8806787,9339500,6481634
2023-06-27 15:30:30,8828227,9365275,6492120
2023-06-27 15:30:45,8838912,9377639,6513110
2023-06-27 15:31:00,8859522,9400285,6523179
2023-06-27 15:31:15,8869936,9411646,6543613
2023-06-27 15:31:30,8890073,9432093,6553391
2023-06-27 15:31:45,8900119,9441748,6572948
2023-06-27 15:32:00,8919618,9460573,6582491
2023-06-27 15:32:15,8928625,9469995,6601425
2023-06-27 15:32:30,8944971,9488097,6610518
2023-06-27 15:32:45,8953129,9497320,6628979
2023-06-27 15:33:00,8967112,9514837,6637821
2023-06-27 15:33:15,8973498,9523635,6655708
2023-06-27 15:33:30,8985799,9540203,6664424
2023-06-27 15:33:45,8991908,9547716,6681686
2023-06-27 15:34:00,9003397,9561332,6690062
2023-06-27 15:34:15,9009061,9568261,6706925
2023-06-27 15:34:30,9017948,9581257,6714920
2023-06-27 15:34:45,9022075,9587880,6731053
2023-06-27 15:35:00,9029793,9600468,6738500
2023-06-27 15:35:15,9033568,9606780,6751630
2023-06-27 15:35:30,9040569,9618893,6757653
2023-06-27 15:35:45,9044168,9625045,6768991
2023-06-27 15:36:00,9050419,9636505,6773441
2023-06-27 15:36:15,9053619,9642379,6782276
2023-06-27 15:36:30,9059441,9652491,6786366
2023-06-27 15:36:45,9062267,9656722,6794465
2023-06-27 15:37:00,9067411,9664430,6798281
2023-06-27 15:37:15,9070053,9668307,6804856
2023-06-27 15:37:30,9074444,9675343,6806934
2023-06-27 15:37:45,9076767,9679016,6811223
