"Time","total","emqx-1","emqx-2","emqx-0"
2023-06-22 17:27:45,0,0,0,
2023-06-22 17:28:00,0,0,0,0
2023-06-22 17:28:15,0,0,0,0
2023-06-22 17:28:30,0,0,0,0
2023-06-22 17:28:45,0,0,0,0
2023-06-22 17:29:00,0,0,0,0
2023-06-22 17:29:15,0,0,0,0
2023-06-22 17:29:30,0,0,0,0
2023-06-22 17:29:45,0,0,0,0
2023-06-22 17:30:00,0,0,0,0
2023-06-22 17:30:15,5,2,2,1
2023-06-22 17:30:30,5,2,2,1
2023-06-22 17:30:45,9,3,4,2
2023-06-22 17:31:00,10,3,4,3
2023-06-22 17:31:15,13,5,5,3
2023-06-22 17:31:30,13,5,5,3
2023-06-22 17:31:45,16,5,7,4
2023-06-22 17:32:00,18,5,8,5
2023-06-22 17:32:15,20,7,8,5
2023-06-22 17:32:30,22,8,8,6
2023-06-22 17:32:45,24,9,8,7
2023-06-22 17:33:00,25,9,8,8
2023-06-22 17:33:15,29,12,9,8
2023-06-22 17:33:30,29,12,9,8
2023-06-22 17:33:45,33,13,12,8
2023-06-22 17:34:00,34,14,12,8
2023-06-22 17:34:15,37,15,13,9
2023-06-22 17:34:30,38,15,13,10
2023-06-22 17:34:45,42,17,15,10
2023-06-22 17:35:00,43,17,16,10
2023-06-22 17:35:15,45,18,17,10
2023-06-22 17:35:30,46,19,17,10
2023-06-22 17:35:45,49,20,18,11
2023-06-22 17:36:00,51,20,20,11
2023-06-22 17:36:15,53,22,20,11
2023-06-22 17:36:30,55,22,20,13
2023-06-22 17:36:45,58,24,21,13
2023-06-22 17:37:00,58,24,21,13
2023-06-22 17:37:15,61,24,23,14
2023-06-22 17:37:30,64,24,23,17
2023-06-22 17:37:45,66,25,24,17
2023-06-22 17:38:00,67,25,25,17
2023-06-22 17:38:15,70,26,27,17
2023-06-22 17:38:30,71,27,27,17
2023-06-22 17:38:45,73,27,27,19
2023-06-22 17:39:00,75,27,28,20
2023-06-22 17:39:15,77,29,28,20
2023-06-22 17:39:30,79,30,28,21
2023-06-22 17:39:45,82,31,28,23
2023-06-22 17:40:00,82,31,28,23
2023-06-22 17:40:15,84,31,30,23
2023-06-22 17:40:30,85,31,31,23
2023-06-22 17:40:45,86,31,32,23
2023-06-22 17:41:00,86,31,32,23
2023-06-22 17:41:15,89,32,34,23
2023-06-22 17:41:30,89,32,34,23
2023-06-22 17:41:45,89,32,34,23
2023-06-22 17:42:00,91,32,36,23
2023-06-22 17:42:15,91,32,36,23
2023-06-22 17:42:30,91,32,36,23
2023-06-22 17:42:45,92,32,37,23
2023-06-22 17:43:00,93,32,37,24
2023-06-22 17:43:15,93,32,37,24
2023-06-22 17:43:30,94,32,37,25
2023-06-22 17:43:45,95,32,38,25
2023-06-22 17:44:00,95,32,38,25
2023-06-22 17:44:15,96,33,38,25
2023-06-22 17:44:30,96,33,38,25
2023-06-22 17:44:45,97,34,38,25
2023-06-22 17:45:00,97,34,38,25
2023-06-22 17:45:15,97,34,38,25
2023-06-22 17:45:30,97,34,38,25
2023-06-22 17:45:45,98,34,39,25
2023-06-22 17:46:00,98,34,39,25
2023-06-22 17:46:15,98,34,39,25
2023-06-22 17:46:30,99,34,40,25
2023-06-22 17:46:45,99,34,40,25
2023-06-22 17:47:00,99,34,40,25
2023-06-22 17:47:15,99,34,40,25
2023-06-22 17:47:30,100,34,40,26
2023-06-22 17:47:45,100,34,40,26
2023-06-22 17:48:00,100,34,40,26
2023-06-22 17:48:15,100,34,40,26
2023-06-22 17:48:30,100,34,40,26
2023-06-22 17:48:45,100,34,40,26
2023-06-22 17:49:00,100,34,40,26
2023-06-22 17:49:15,100,34,40,26
2023-06-22 17:49:30,100,34,40,26
2023-06-22 17:49:45,100,34,40,26
2023-06-22 17:50:00,100,34,40,26
2023-06-22 17:50:15,100,34,40,26
2023-06-22 17:50:30,100,34,40,26
2023-06-22 17:50:45,100,34,40,26
2023-06-22 17:51:00,100,34,40,26
2023-06-22 17:51:15,100,34,40,26
2023-06-22 17:51:30,100,34,40,26
2023-06-22 17:51:45,100,34,40,26
2023-06-22 17:52:00,100,34,40,26
2023-06-22 17:52:15,100,34,40,26
2023-06-22 17:52:30,100,34,40,26
2023-06-22 17:52:45,100,34,40,26
2023-06-22 17:53:00,100,34,40,26
2023-06-22 17:53:15,100,34,40,26
2023-06-22 17:53:30,100,34,40,26
2023-06-22 17:53:45,100,34,40,26
2023-06-22 17:54:00,100,34,40,26
2023-06-22 17:54:15,100,34,40,26
2023-06-22 17:54:30,100,34,40,26
2023-06-22 17:54:45,100,34,40,26
2023-06-22 17:55:00,100,34,40,26
2023-06-22 17:55:15,100,34,40,26
2023-06-22 17:55:30,100,34,40,26
2023-06-22 17:55:45,100,34,40,26
2023-06-22 17:56:00,100,34,40,26
2023-06-22 17:56:15,100,34,40,26
2023-06-22 17:56:30,100,34,40,26
2023-06-22 17:56:45,100,34,40,26
2023-06-22 17:57:00,100,34,40,26
2023-06-22 17:57:15,100,34,40,26
2023-06-22 17:57:30,100,34,40,26
2023-06-22 17:57:45,100,34,40,26
2023-06-22 17:58:00,100,34,40,26
2023-06-22 17:58:15,100,34,40,26
2023-06-22 17:58:30,100,34,40,26
2023-06-22 17:58:45,100,34,40,26
2023-06-22 17:59:00,100,34,40,26
2023-06-22 17:59:15,100,34,40,26
2023-06-22 17:59:30,100,34,40,26
2023-06-22 17:59:45,100,34,40,26
2023-06-22 18:00:00,100,34,40,26
2023-06-22 18:00:15,100,34,40,26
2023-06-22 18:00:30,100,34,40,26
2023-06-22 18:00:45,100,34,40,26
2023-06-22 18:01:00,100,34,40,26
2023-06-22 18:01:15,100,34,40,26
2023-06-22 18:01:30,100,34,40,26
2023-06-22 18:01:45,100,34,40,26
2023-06-22 18:02:00,100,34,40,26
2023-06-22 18:02:15,100,34,40,26
2023-06-22 18:02:30,100,34,40,26
2023-06-22 18:02:45,100,34,40,26
2023-06-22 18:03:00,100,34,40,26
2023-06-22 18:03:15,100,34,40,26
2023-06-22 18:03:30,100,34,40,26
2023-06-22 18:03:45,100,34,40,26
2023-06-22 18:04:00,100,34,40,26
2023-06-22 18:04:15,100,34,40,26
2023-06-22 18:04:30,100,34,40,26
2023-06-22 18:04:45,100,34,40,26
2023-06-22 18:05:00,100,34,40,26
2023-06-22 18:05:15,100,34,40,26
2023-06-22 18:05:30,100,34,40,26
2023-06-22 18:05:45,100,34,40,26
2023-06-22 18:06:00,100,34,40,26
2023-06-22 18:06:15,100,34,40,26
2023-06-22 18:06:30,100,34,40,26
2023-06-22 18:06:45,100,34,40,26
2023-06-22 18:07:00,100,34,40,26
2023-06-22 18:07:15,100,34,40,26
2023-06-22 18:07:30,100,34,40,26
2023-06-22 18:07:45,100,34,40,26
2023-06-22 18:08:00,100,34,40,26
2023-06-22 18:08:15,100,34,40,26
2023-06-22 18:08:30,100,34,40,26
2023-06-22 18:08:45,100,34,40,26
2023-06-22 18:09:00,100,34,40,26
2023-06-22 18:09:15,100,34,40,26
2023-06-22 18:09:30,100,34,40,26
2023-06-22 18:09:45,100,34,40,26
2023-06-22 18:10:00,100,34,40,26
2023-06-22 18:10:15,100,34,40,26
2023-06-22 18:10:30,100,34,40,26

