"Time","emqx-1","emqx-0","Used Memory"
2023-06-23 16:51:15,1.91 GB,3.00 GB,4.92 GB
2023-06-23 16:51:30,1.91 GB,3.01 GB,4.91 GB
2023-06-23 16:51:45,1.91 GB,3.01 GB,4.92 GB
2023-06-23 16:52:00,1.91 GB,3.01 GB,4.92 GB
2023-06-23 16:52:15,1.91 GB,3.01 GB,4.91 GB
2023-06-23 16:52:30,1.91 GB,3.01 GB,4.92 GB
2023-06-23 16:52:45,1.91 GB,3.01 GB,4.91 GB
2023-06-23 16:53:00,1.91 GB,3.01 GB,4.92 GB
2023-06-23 16:53:15,1.91 GB,3.01 GB,4.91 GB
2023-06-23 16:53:30,1.91 GB,3.01 GB,4.92 GB
2023-06-23 16:53:45,1.91 GB,3.01 GB,4.92 GB
2023-06-23 16:54:00,1.91 GB,3.01 GB,4.92 GB
2023-06-23 16:54:15,1.92 GB,3.02 GB,4.94 GB
2023-06-23 16:54:30,1.91 GB,3.02 GB,4.93 GB
2023-06-23 16:54:45,1.92 GB,3.03 GB,4.95 GB
2023-06-23 16:55:00,1.95 GB,3.04 GB,4.99 GB
2023-06-23 16:55:15,1.97 GB,3.07 GB,5.04 GB
2023-06-23 16:55:30,1.99 GB,3.08 GB,5.07 GB
2023-06-23 16:55:45,2.01 GB,3.14 GB,5.14 GB
2023-06-23 16:56:00,2.03 GB,3.14 GB,5.17 GB
2023-06-23 16:56:15,2.04 GB,3.16 GB,5.20 GB
2023-06-23 16:56:30,2.06 GB,3.17 GB,5.23 GB
2023-06-23 16:56:45,2.08 GB,3.20 GB,5.28 GB
2023-06-23 16:57:00,2.13 GB,3.22 GB,5.35 GB
2023-06-23 16:57:15,2.16 GB,3.24 GB,5.39 GB
2023-06-23 16:57:30,2.18 GB,3.26 GB,5.43 GB
2023-06-23 16:57:45,2.20 GB,3.27 GB,5.47 GB
2023-06-23 16:58:00,2.22 GB,3.27 GB,5.49 GB
2023-06-23 16:58:15,2.22 GB,3.31 GB,5.53 GB
2023-06-23 16:58:30,2.22 GB,3.32 GB,5.55 GB
2023-06-23 16:58:45,2.23 GB,3.34 GB,5.57 GB
2023-06-23 16:59:00,2.25 GB,3.36 GB,5.60 GB
2023-06-23 16:59:15,2.25 GB,3.38 GB,5.63 GB
2023-06-23 16:59:30,2.28 GB,3.41 GB,5.68 GB
2023-06-23 16:59:45,2.29 GB,3.45 GB,5.74 GB
2023-06-23 17:00:00,2.30 GB,3.46 GB,5.76 GB
2023-06-23 17:00:15,2.33 GB,3.48 GB,5.82 GB
2023-06-23 17:00:30,2.34 GB,3.51 GB,5.85 GB
2023-06-23 17:00:45,2.37 GB,3.55 GB,5.91 GB
2023-06-23 17:01:00,2.38 GB,3.57 GB,5.95 GB
2023-06-23 17:01:15,2.39 GB,3.58 GB,5.98 GB
2023-06-23 17:01:30,2.41 GB,3.59 GB,6.00 GB
2023-06-23 17:01:45,2.41 GB,3.58 GB,5.99 GB
2023-06-23 17:02:00,2.46 GB,3.59 GB,6.04 GB
2023-06-23 17:02:15,2.46 GB,3.60 GB,6.06 GB
2023-06-23 17:02:30,2.48 GB,3.61 GB,6.09 GB
2023-06-23 17:02:45,2.47 GB,3.62 GB,6.09 GB
2023-06-23 17:03:00,2.52 GB,3.62 GB,6.14 GB
2023-06-23 17:03:15,2.53 GB,3.64 GB,6.17 GB
2023-06-23 17:03:30,2.54 GB,3.65 GB,6.18 GB
2023-06-23 17:03:45,2.54 GB,3.67 GB,6.21 GB
2023-06-23 17:04:00,2.56 GB,3.66 GB,6.22 GB
2023-06-23 17:04:15,2.59 GB,3.71 GB,6.30 GB
2023-06-23 17:04:30,2.59 GB,3.73 GB,6.32 GB
2023-06-23 17:04:45,2.61 GB,3.74 GB,6.35 GB
2023-06-23 17:05:00,2.63 GB,3.74 GB,6.37 GB
2023-06-23 17:05:15,2.62 GB,3.74 GB,6.36 GB
2023-06-23 17:05:30,2.65 GB,3.75 GB,6.41 GB
2023-06-23 17:05:45,2.66 GB,3.77 GB,6.43 GB
2023-06-23 17:06:00,2.54 GB,3.63 GB,6.17 GB
2023-06-23 17:06:15,2.54 GB,3.67 GB,6.21 GB
2023-06-23 17:06:30,2.59 GB,3.69 GB,6.28 GB
2023-06-23 17:06:45,2.63 GB,3.74 GB,6.36 GB
2023-06-23 17:07:00,2.65 GB,3.75 GB,6.40 GB
2023-06-23 17:07:15,2.68 GB,3.76 GB,6.44 GB
2023-06-23 17:07:30,2.68 GB,3.76 GB,6.44 GB
2023-06-23 17:07:45,2.69 GB,3.77 GB,6.46 GB
2023-06-23 17:08:00,2.68 GB,3.79 GB,6.47 GB
2023-06-23 17:08:15,2.69 GB,3.79 GB,6.48 GB
2023-06-23 17:08:30,2.70 GB,3.79 GB,6.49 GB
2023-06-23 17:08:45,2.70 GB,3.77 GB,6.47 GB
2023-06-23 17:09:00,2.68 GB,3.78 GB,6.46 GB
2023-06-23 17:09:15,2.68 GB,3.78 GB,6.46 GB
2023-06-23 17:09:30,2.67 GB,3.78 GB,6.45 GB
2023-06-23 17:09:45,2.69 GB,3.78 GB,6.47 GB
2023-06-23 17:10:00,2.65 GB,3.77 GB,6.43 GB
2023-06-23 17:10:15,2.62 GB,3.76 GB,6.39 GB
2023-06-23 17:10:30,2.61 GB,3.76 GB,6.38 GB
2023-06-23 17:10:45,2.62 GB,3.75 GB,6.37 GB
2023-06-23 17:11:00,2.62 GB,3.73 GB,6.35 GB
2023-06-23 17:11:15,2.62 GB,3.72 GB,6.35 GB
2023-06-23 17:11:30,2.62 GB,3.73 GB,6.35 GB
2023-06-23 17:11:45,2.62 GB,3.74 GB,6.36 GB
2023-06-23 17:12:00,2.61 GB,3.73 GB,6.34 GB
2023-06-23 17:12:15,2.62 GB,3.73 GB,6.35 GB
2023-06-23 17:12:30,2.61 GB,3.73 GB,6.35 GB
2023-06-23 17:12:45,2.61 GB,3.73 GB,6.34 GB
2023-06-23 17:13:00,2.62 GB,3.73 GB,6.34 GB
2023-06-23 17:13:15,2.61 GB,3.72 GB,6.34 GB
