"Time","emqx-1","emqx-0","Total"
2023-06-23 17:20:30,6726474,8489998,15216472
2023-06-23 17:20:45,6741655,8523787,15265442
2023-06-23 17:21:00,6769527,8538280,15307807
2023-06-23 17:21:15,6782231,8566335,15348566
2023-06-23 17:21:30,6805099,8580296,15385395
2023-06-23 17:21:45,6815114,8608209,15423323
2023-06-23 17:22:00,6833952,8621196,15455148
2023-06-23 17:22:15,6843251,8645151,15488402
2023-06-23 17:22:30,6860600,8657129,15517729
2023-06-23 17:22:45,6868597,8681140,15549737
2023-06-23 17:23:00,6884596,8693031,15577627
2023-06-23 17:23:15,6892577,8715358,15607935
2023-06-23 17:23:30,6908574,8726017,15634591
2023-06-23 17:23:45,6916515,8747348,15663863
2023-06-23 17:24:00,6930984,8758007,15688991
2023-06-23 17:24:15,6937651,8779332,15716983
2023-06-23 17:24:30,6950973,8789805,15740778
2023-06-23 17:24:45,6957639,8809180,15766819
2023-06-23 17:25:00,6970968,8818526,15789494
2023-06-23 17:25:15,6977477,8837161,15814638
2023-06-23 17:25:30,6988961,8846492,15835453
2023-06-23 17:25:45,6994303,8865139,15859442
2023-06-23 17:26:00,7004448,8874453,15878901
2023-06-23 17:26:15,7008787,8893124,15901911
2023-06-23 17:26:30,7016783,8902435,15919218
2023-06-23 17:26:45,7020784,8920254,15941038
2023-06-23 17:27:00,7028782,8928385,15957167
2023-06-23 17:27:15,7032784,8944359,15977143
2023-06-23 17:27:30,7040067,8952366,15992433
2023-06-23 17:27:45,7042935,8968343,16011278
2023-06-23 17:28:00,7048260,8976342,16024602
2023-06-23 17:28:15,7050923,8991347,16042270
2023-06-23 17:28:30,7056249,8998104,16054353
2023-06-23 17:28:45,7058910,9011432,16070342
2023-06-23 17:29:00,7063320,9018093,16081413
2023-06-23 17:29:15,7064770,9031420,16096190
2023-06-23 17:29:30,7067432,9038052,16105484
2023-06-23 17:29:45,7068768,9050000,16118768
2023-06-23 17:30:00,7071432,9055310,16126742
2023-06-23 17:30:15,7072768,9065731,16138499
2023-06-23 17:30:30,7075432,9070275,16145707
2023-06-23 17:30:45,7076768,9078355,16155123
2023-06-23 17:31:00,7079252,9082349,16161601
2023-06-23 17:31:15,7079880,9090354,16170234
2023-06-23 17:31:30,7080000,9094348,16174348
2023-06-23 17:31:45,7080000,9101975,16181975
2023-06-23 17:32:00,7080000,9105072,16185072
2023-06-23 17:32:15,7080000,9110427,16190427
2023-06-23 17:32:30,7080000,9112898,16192898
2023-06-23 17:32:45,7080000,9116284,16196284
2023-06-23 17:33:00,7080000,9117616,16197616
2023-06-23 17:33:15,7080000,9119713,16199713

