"Time","emqx-1","emqx-0","emqx-2"
2023-07-17 15:25:30,15404548,15646258,15343375
2023-07-17 15:25:45,15429342,15671677,15369489
2023-07-17 15:26:00,15474782,15721022,15421238
2023-07-17 15:26:15,15496214,15744960,15445578
2023-07-17 15:26:30,15539273,15791885,15489165
2023-07-17 15:26:45,15559720,15814837,15509128
2023-07-17 15:27:00,15597899,15859845,15548074
2023-07-17 15:27:15,15615254,15881696,15566119
2023-07-17 15:27:30,15649444,15925251,15603180
2023-07-17 15:27:45,15665561,15946794,15620941
2023-07-17 15:28:00,15698810,15989481,15655861
2023-07-17 15:28:15,15714395,16010192,15671615
2023-07-17 15:28:30,15746950,16051824,15704242
2023-07-17 15:28:45,15762302,16072321,15719036

