"Time","emqx-0","Used Memory"
2023-06-26 11:41:15,2.50 GB,2.50 GB
2023-06-26 11:41:30,2.45 GB,2.45 GB
2023-06-26 11:41:45,2.45 GB,2.45 GB
2023-06-26 11:42:00,2.45 GB,2.45 GB
2023-06-26 11:42:15,2.45 GB,2.45 GB
2023-06-26 11:42:30,2.46 GB,2.46 GB
2023-06-26 11:42:45,2.45 GB,2.45 GB
2023-06-26 11:43:00,2.45 GB,2.45 GB
2023-06-26 11:43:15,2.45 GB,2.45 GB
2023-06-26 11:43:30,2.47 GB,2.47 GB
2023-06-26 11:43:45,2.51 GB,2.51 GB
2023-06-26 11:44:00,2.53 GB,2.53 GB
2023-06-26 11:44:15,2.59 GB,2.59 GB
2023-06-26 11:44:30,2.60 GB,2.60 GB
2023-06-26 11:44:45,2.65 GB,2.65 GB
2023-06-26 11:45:00,2.68 GB,2.68 GB
2023-06-26 11:45:15,2.74 GB,2.74 GB
2023-06-26 11:45:30,2.75 GB,2.75 GB
2023-06-26 11:45:45,2.83 GB,2.83 GB
2023-06-26 11:46:00,2.88 GB,2.88 GB
2023-06-26 11:46:15,2.92 GB,2.92 GB
2023-06-26 11:46:30,2.98 GB,2.98 GB
2023-06-26 11:46:45,3.02 GB,3.02 GB
2023-06-26 11:47:00,3.05 GB,3.05 GB
2023-06-26 11:47:15,3.08 GB,3.08 GB
2023-06-26 11:47:30,3.12 GB,3.12 GB
2023-06-26 11:47:45,3.15 GB,3.15 GB
2023-06-26 11:48:00,3.18 GB,3.18 GB
2023-06-26 11:48:15,3.23 GB,3.23 GB
2023-06-26 11:48:30,3.24 GB,3.24 GB
2023-06-26 11:48:45,3.25 GB,3.25 GB
2023-06-26 11:49:00,3.25 GB,3.25 GB
2023-06-26 11:49:15,3.26 GB,3.26 GB
2023-06-26 11:49:30,3.26 GB,3.26 GB
2023-06-26 11:49:45,3.27 GB,3.27 GB
2023-06-26 11:50:00,3.26 GB,3.26 GB
2023-06-26 11:50:15,3.25 GB,3.25 GB
2023-06-26 11:50:30,3.26 GB,3.26 GB
2023-06-26 11:50:45,3.26 GB,3.26 GB
2023-06-26 11:51:00,3.26 GB,3.26 GB
2023-06-26 11:51:15,3.25 GB,3.25 GB
2023-06-26 11:51:30,3.25 GB,3.25 GB
2023-06-26 11:51:45,3.23 GB,3.23 GB
