"Time","emqx-0","emqx-1","emqx-3","emqx-2","Used Memory"
2023-06-26 18:45:15,2.06 GB,2.66 GB,2.51 GB,2.47 GB,9.70 GB
2023-06-26 18:45:30,2.05 GB,2.65 GB,2.51 GB,2.47 GB,9.68 GB
2023-06-26 18:45:45,2.06 GB,2.67 GB,2.51 GB,2.47 GB,9.71 GB
2023-06-26 18:46:00,2.06 GB,2.64 GB,2.51 GB,2.47 GB,9.68 GB
2023-06-26 18:46:15,2.07 GB,2.65 GB,2.51 GB,2.47 GB,9.69 GB
2023-06-26 18:46:30,2.05 GB,2.65 GB,2.51 GB,2.47 GB,9.67 GB
2023-06-26 18:46:45,2.05 GB,2.65 GB,2.50 GB,2.47 GB,9.67 GB
2023-06-26 18:47:00,2.05 GB,2.66 GB,2.50 GB,2.46 GB,9.68 GB
2023-06-26 18:47:15,2.04 GB,2.65 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:47:30,2.04 GB,2.66 GB,2.51 GB,2.46 GB,9.66 GB
2023-06-26 18:47:45,2.04 GB,2.66 GB,2.51 GB,2.45 GB,9.66 GB
2023-06-26 18:48:00,2.04 GB,2.67 GB,2.51 GB,2.46 GB,9.67 GB
2023-06-26 18:48:15,2.03 GB,2.66 GB,2.51 GB,2.46 GB,9.66 GB
2023-06-26 18:48:30,2.04 GB,2.66 GB,2.51 GB,2.47 GB,9.68 GB
2023-06-26 18:48:45,2.04 GB,2.66 GB,2.51 GB,2.46 GB,9.66 GB
2023-06-26 18:49:00,2.03 GB,2.66 GB,2.51 GB,2.46 GB,9.66 GB
2023-06-26 18:49:15,2.03 GB,2.66 GB,2.51 GB,2.46 GB,9.65 GB
2023-06-26 18:49:30,2.03 GB,2.66 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:49:45,2.02 GB,2.66 GB,2.50 GB,2.46 GB,9.64 GB
2023-06-26 18:50:00,2.03 GB,2.66 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:50:15,2.03 GB,2.66 GB,2.51 GB,2.46 GB,9.64 GB
2023-06-26 18:50:30,2.04 GB,2.66 GB,2.51 GB,2.46 GB,9.66 GB
2023-06-26 18:50:45,2.03 GB,2.66 GB,2.51 GB,2.45 GB,9.65 GB
2023-06-26 18:51:00,2.04 GB,2.66 GB,2.50 GB,2.46 GB,9.66 GB
2023-06-26 18:51:15,2.03 GB,2.65 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:51:30,2.03 GB,2.65 GB,2.51 GB,2.46 GB,9.66 GB
2023-06-26 18:51:45,2.03 GB,2.66 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:52:00,2.03 GB,2.66 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:52:15,2.03 GB,2.66 GB,2.50 GB,2.46 GB,9.64 GB
2023-06-26 18:52:30,2.03 GB,2.65 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:52:45,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:53:00,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:53:15,2.02 GB,2.65 GB,2.51 GB,2.45 GB,9.63 GB
2023-06-26 18:53:30,2.04 GB,2.65 GB,2.50 GB,2.45 GB,9.64 GB
2023-06-26 18:53:45,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:54:00,2.03 GB,2.65 GB,2.50 GB,2.46 GB,9.64 GB
2023-06-26 18:54:15,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.64 GB
2023-06-26 18:54:30,2.03 GB,2.65 GB,2.50 GB,2.45 GB,9.63 GB
2023-06-26 18:54:45,2.03 GB,2.66 GB,2.50 GB,2.45 GB,9.64 GB
2023-06-26 18:55:00,2.03 GB,2.66 GB,2.50 GB,2.45 GB,9.64 GB
