"Time","emqx-3","emqx-1","emqx-0","emqx-2","Used Memory"
2023-07-15 22:27:30,2.80 GB,3.00 GB,1.53 GB,2.75 GB,10.1 GB
2023-07-15 22:27:45,2.80 GB,3.01 GB,1.54 GB,2.75 GB,10.1 GB
2023-07-15 22:28:00,2.80 GB,3.01 GB,1.53 GB,2.76 GB,10.1 GB
2023-07-15 22:28:15,2.80 GB,3.02 GB,1.54 GB,2.76 GB,10.1 GB
2023-07-15 22:28:30,2.81 GB,3.04 GB,1.56 GB,2.78 GB,10.2 GB
2023-07-15 22:28:45,2.82 GB,3.05 GB,1.56 GB,2.78 GB,10.2 GB
2023-07-15 22:29:00,2.83 GB,3.06 GB,1.57 GB,2.81 GB,10.3 GB
2023-07-15 22:29:15,2.84 GB,3.07 GB,1.58 GB,2.81 GB,10.3 GB
2023-07-15 22:29:30,2.85 GB,3.08 GB,1.61 GB,2.82 GB,10.4 GB
2023-07-15 22:29:45,2.85 GB,3.10 GB,1.61 GB,2.82 GB,10.4 GB
2023-07-15 22:30:00,2.86 GB,3.10 GB,1.63 GB,2.86 GB,10.5 GB
2023-07-15 22:30:15,2.88 GB,3.13 GB,1.64 GB,2.86 GB,10.5 GB
2023-07-15 22:30:30,2.89 GB,3.15 GB,1.66 GB,2.87 GB,10.6 GB
2023-07-15 22:30:45,2.90 GB,3.16 GB,1.67 GB,2.88 GB,10.6 GB
2023-07-15 22:31:00,2.91 GB,3.17 GB,1.68 GB,2.89 GB,10.7 GB
2023-07-15 22:31:15,2.93 GB,3.18 GB,1.68 GB,2.90 GB,10.7 GB
2023-07-15 22:31:30,2.93 GB,3.18 GB,1.70 GB,2.90 GB,10.7 GB
2023-07-15 22:31:45,2.93 GB,3.18 GB,1.72 GB,2.90 GB,10.7 GB
2023-07-15 22:32:00,2.94 GB,3.22 GB,1.73 GB,2.91 GB,10.8 GB
2023-07-15 22:32:15,2.95 GB,3.22 GB,1.73 GB,2.91 GB,10.8 GB
2023-07-15 22:32:30,2.96 GB,3.23 GB,1.73 GB,2.94 GB,10.9 GB
2023-07-15 22:32:45,2.97 GB,3.24 GB,1.74 GB,2.95 GB,10.9 GB
2023-07-15 22:33:00,2.98 GB,3.25 GB,1.75 GB,2.96 GB,10.9 GB
2023-07-15 22:33:15,2.99 GB,3.25 GB,1.76 GB,2.97 GB,11.0 GB
2023-07-15 22:33:30,3.00 GB,3.24 GB,1.75 GB,2.97 GB,11.0 GB
2023-07-15 22:33:45,3.01 GB,3.23 GB,1.75 GB,2.97 GB,11.0 GB
2023-07-15 22:34:00,3.01 GB,3.24 GB,1.76 GB,2.98 GB,11.0 GB
2023-07-15 22:34:15,3.01 GB,3.27 GB,1.78 GB,3.01 GB,11.1 GB
2023-07-15 22:34:30,3.02 GB,3.28 GB,1.80 GB,3.01 GB,11.1 GB
2023-07-15 22:34:45,3.03 GB,3.28 GB,1.80 GB,3.02 GB,11.1 GB
2023-07-15 22:35:00,3.05 GB,3.28 GB,1.81 GB,3.03 GB,11.2 GB
2023-07-15 22:35:15,3.07 GB,3.28 GB,1.82 GB,3.04 GB,11.2 GB
2023-07-15 22:35:30,3.08 GB,3.29 GB,1.83 GB,3.04 GB,11.2 GB
2023-07-15 22:35:45,3.08 GB,3.30 GB,1.84 GB,3.05 GB,11.3 GB
2023-07-15 22:36:00,3.10 GB,3.32 GB,1.85 GB,3.06 GB,11.3 GB
2023-07-15 22:36:15,3.10 GB,3.32 GB,1.85 GB,3.07 GB,11.3 GB
2023-07-15 22:36:30,3.11 GB,3.33 GB,1.85 GB,3.07 GB,11.4 GB
2023-07-15 22:36:45,3.12 GB,3.34 GB,1.86 GB,3.07 GB,11.4 GB
2023-07-15 22:37:00,3.13 GB,3.35 GB,1.87 GB,3.09 GB,11.4 GB
2023-07-15 22:37:15,3.13 GB,3.35 GB,1.88 GB,3.09 GB,11.5 GB
2023-07-15 22:37:30,3.14 GB,3.36 GB,1.90 GB,3.09 GB,11.5 GB
2023-07-15 22:37:45,3.16 GB,3.39 GB,1.90 GB,3.10 GB,11.6 GB
2023-07-15 22:38:00,3.16 GB,3.40 GB,1.92 GB,3.16 GB,11.6 GB
2023-07-15 22:38:15,3.17 GB,3.40 GB,1.94 GB,3.19 GB,11.7 GB
2023-07-15 22:38:30,3.16 GB,3.39 GB,1.92 GB,3.22 GB,11.7 GB
2023-07-15 22:38:45,3.16 GB,3.40 GB,1.93 GB,3.24 GB,11.7 GB
2023-07-15 22:39:00,3.20 GB,3.39 GB,1.94 GB,3.24 GB,11.8 GB
2023-07-15 22:39:15,3.10 GB,3.38 GB,1.86 GB,3.13 GB,11.5 GB
2023-07-15 22:39:30,3.17 GB,3.40 GB,1.91 GB,3.09 GB,11.6 GB
2023-07-15 22:39:45,3.19 GB,3.44 GB,1.93 GB,3.12 GB,11.7 GB
2023-07-15 22:40:00,3.22 GB,3.45 GB,1.97 GB,3.17 GB,11.8 GB
2023-07-15 22:40:15,3.24 GB,3.50 GB,1.99 GB,3.17 GB,11.9 GB
2023-07-15 22:40:30,3.25 GB,3.50 GB,2.06 GB,3.20 GB,12.0 GB
