"Time","emqx-3","emqx-0","emqx-2","emqx-1"
2023-07-15 16:31:45,8309925,10259585,7981570,9183039
2023-07-15 16:32:00,8397474,10314906,8087780,9282867
2023-07-15 16:32:15,8439509,10421873,8138711,9331398
2023-07-15 16:32:30,8521716,10474239,8234914,9427031
2023-07-15 16:32:45,8561482,10574179,8279219,9473750
2023-07-15 16:33:00,8640246,10622506,8364623,9566119
2023-07-15 16:33:15,8677644,10708392,8405402,9611307
2023-07-15 16:33:30,8750733,10748983,8485955,9700583
2023-07-15 16:33:45,8785191,10823352,8525344,9744189
2023-07-15 16:34:00,8852219,10857661,8602534,9827663
2023-07-15 16:34:15,8884383,10921746,8640133,9867682
2023-07-15 16:34:30,8946040,10952763,8712298,9941833
2023-07-15 16:34:45,8974465,11012118,8746464,9977885
2023-07-15 16:35:00,9028544,11040696,8809304,10045634
2023-07-15 16:35:15,9054125,11095955,8838607,10077945
2023-07-15 16:35:30,9101288,11123206,8893768,10137832
2023-07-15 16:35:45,9122653,11174065,8920184,10164626
2023-07-15 16:36:00,9163540,11197599,8972184,10215404
2023-07-15 16:36:15,9182714,11233582,8996784,10239476
2023-07-15 16:36:30,9220447,11249481,9044728,10285300
2023-07-15 16:36:45,9238309,11276659,9066398,10306317
2023-07-15 16:37:00,9273923,11289605,9108239,10344871
2023-07-15 16:37:15,9291030,11313683,9128642,10362445
2023-07-15 16:37:30,9325716,11325782,9168477,10394134
2023-07-15 16:37:45,9342354,11346607,9187164,10409565
2023-07-15 16:38:00,9375565,11355639,9222813,10439694
2023-07-15 16:38:15,9391692,11372467,9240325,10454574
2023-07-15 16:38:30,9420745,11380571,9274407,10482132
2023-07-15 16:38:45,9434522,11395603,9290926,10494907
2023-07-15 16:39:00,9462774,11403529,9324285,10520342
2023-07-15 16:39:15,9476369,11418025,9340617,10532084
2023-07-15 16:39:30,9504128,11425627,9373519,10554545
2023-07-15 16:39:45,9517557,11439825,9389743,10565523
2023-07-15 16:40:00,9544737,11447201,9422284,10585816
2023-07-15 16:40:15,9557872,11460883,9438205,10595235
2023-07-15 16:40:30,9584678,11468130,9470034,10614212
2023-07-15 16:40:45,9597485,11481278,9484845,10623478
2023-07-15 16:41:00,9623690,11488192,9513824,10642006
2023-07-15 16:41:15,9636348,11500993,9527928,10651146
2023-07-15 16:41:30,9662082,11507634,9554798,10669271
2023-07-15 16:41:45,9674524,11519847,9567419,10678070
2023-07-15 16:42:00,9699998,11526323,9592657,10695832
2023-07-15 16:42:15,9712194,11537945,9604107,10704446
2023-07-15 16:42:30,9737163,11544098,9626497,10721752
2023-07-15 16:42:45,9749174,11555351,9637405,10730078
2023-07-15 16:43:00,9773664,11561156,9659434,10744965
2023-07-15 16:43:15,9785435,11571809,9670098,10751780
2023-07-15 16:43:30,9809571,11577481,9691916,10765047
2023-07-15 16:43:45,9821013,11587673,9702403,10770616
2023-07-15 16:44:00,9844604,11593106,9723757,10781088
2023-07-15 16:44:15,9855904,11602926,9733948,10786143
2023-07-15 16:44:30,9878986,11607985,9752934,10796174
2023-07-15 16:44:45,9890111,11617185,9761735,10800942
2023-07-15 16:45:00,9911994,11622128,9779715,10810616
2023-07-15 16:45:15,9921630,11630838,9788227,10815120
2023-07-15 16:45:30,9941310,11635563,9805567,10824266
2023-07-15 16:45:45,9950631,11644018,9813615,10828630
2023-07-15 16:46:00,9969718,11648448,9828259,10837327
2023-07-15 16:46:15,9978837,11656418,9834947,10841478
2023-07-15 16:46:30,9996524,11660703,9848597,10849932
2023-07-15 16:46:45,10004088,11668117,9854927,10853842
2023-07-15 16:47:00,10019702,11672174,9868018,10861850
2023-07-15 16:47:15,10026520,11679173,9874233,10865626
2023-07-15 16:47:30,10039254,11682887,9886827,10873081
2023-07-15 16:47:45,10045131,11689414,9892805,10876597
2023-07-15 16:48:00,10057278,11692995,9904194,10883661
2023-07-15 16:48:15,10062908,11699077,9908643,10886788
2023-07-15 16:48:30,10074666,11702507,9917713,10893249
2023-07-15 16:48:45,10079519,11708298,9921898,10896257
2023-07-15 16:49:00,10088398,11711413,9930384,10902175
2023-07-15 16:49:15,10092371,11716745,9934314,10904935
2023-07-15 16:49:30,10099508,11719701,9942459,10910549
2023-07-15 16:49:45,10101835,11724414,9946128,10913013
2023-07-15 16:50:00,10107079,11727169,9953825,10918155
2023-07-15 16:50:15,10109225,11731520,9956914,10920440
2023-07-15 16:50:30,10113856,11733981,9961800,10924930

