"Time","emqx-3"
2023-07-15 16:07:00,0
2023-07-15 16:07:15,104
2023-07-15 16:07:30,1484
2023-07-15 16:07:45,2888
2023-07-15 16:08:00,11325
2023-07-15 16:08:15,16548
2023-07-15 16:08:30,30494
2023-07-15 16:08:45,38412
2023-07-15 16:09:00,54214
2023-07-15 16:09:15,62112
2023-07-15 16:09:30,78512
2023-07-15 16:09:45,87485
2023-07-15 16:10:00,107194
2023-07-15 16:10:15,118079
2023-07-15 16:10:30,143644
2023-07-15 16:10:45,157596
2023-07-15 16:11:00,186655
2023-07-15 16:11:15,201431
2023-07-15 16:11:30,230997
2023-07-15 16:11:45,245783
2023-07-15 16:12:00,275316
2023-07-15 16:12:15,290107
2023-07-15 16:12:30,321301
2023-07-15 16:12:45,339096
2023-07-15 16:13:00,375800
2023-07-15 16:13:15,394554
2023-07-15 16:13:30,432833
2023-07-15 16:13:45,452596
2023-07-15 16:14:00,493933
2023-07-15 16:14:15,515596
2023-07-15 16:14:30,560721
2023-07-15 16:14:45,584336
2023-07-15 16:15:00,633374
2023-07-15 16:15:15,659018
2023-07-15 16:15:30,711670
2023-07-15 16:15:45,738613
2023-07-15 16:16:00,792439
2023-07-15 16:16:15,819422
2023-07-15 16:16:30,873967
2023-07-15 16:16:45,901861
2023-07-15 16:17:00,958776
2023-07-15 16:17:15,987738
2023-07-15 16:17:30,1046080
2023-07-15 16:17:45,1075833
2023-07-15 16:18:00,1136415
2023-07-15 16:18:15,1167348
2023-07-15 16:18:30,1229368
2023-07-15 16:18:45,1261019
2023-07-15 16:19:00,1324868
2023-07-15 16:19:15,1357633
2023-07-15 16:19:30,1422606
2023-07-15 16:19:45,1454188
2023-07-15 16:20:00,1519819
2023-07-15 16:20:15,1553849
2023-07-15 16:20:30,1620376
2023-07-15 16:20:45,1651958
2023-07-15 16:21:00,1718025
2023-07-15 16:21:15,1750658
2023-07-15 16:21:30,1817870
2023-07-15 16:21:45,1851826
2023-07-15 16:22:00,1920997
2023-07-15 16:22:15,1957638
2023-07-15 16:22:30,2031821
2023-07-15 16:22:45,2068504
2023-07-15 16:23:00,2140695
2023-07-15 16:23:15,2177592
2023-07-15 16:23:30,2251836
2023-07-15 16:23:45,2290811
2023-07-15 16:24:00,2369624
2023-07-15 16:24:15,2407999
2023-07-15 16:24:30,2486122
2023-07-15 16:24:45,2525519
2023-07-15 16:25:00,2597581
2023-07-15 16:25:15,2632757
2023-07-15 16:25:30,2700764
2023-07-15 16:25:45,2733995
2023-07-15 16:26:00,2800339
2023-07-15 16:26:15,2833561
2023-07-15 16:26:30,2899781
2023-07-15 16:26:45,2932397
2023-07-15 16:27:00,2996102
2023-07-15 16:27:15,3026868
2023-07-15 16:27:30,3086802
2023-07-15 16:27:45,3116201
2023-07-15 16:28:00,3174650
2023-07-15 16:28:15,3203895
2023-07-15 16:28:30,3262284
2023-07-15 16:28:45,3291520
2023-07-15 16:29:00,3349786
2023-07-15 16:29:15,3378530
2023-07-15 16:29:30,3433952
2023-07-15 16:29:45,3459531
2023-07-15 16:30:00,3510022
2023-07-15 16:30:15,3534871
2023-07-15 16:30:30,3583315
2023-07-15 16:30:45,3606512
2023-07-15 16:31:00,3651056
2023-07-15 16:31:15,3672389
2023-07-15 16:31:30,3713075
2023-07-15 16:31:45,3732428
2023-07-15 16:32:00,3769077
2023-07-15 16:32:15,3786768
2023-07-15 16:32:30,3821388
2023-07-15 16:32:45,3838688
2023-07-15 16:33:00,3873205
2023-07-15 16:33:15,3890065
2023-07-15 16:33:30,3922579
2023-07-15 16:33:45,3938237
2023-07-15 16:34:00,3968824
2023-07-15 16:34:15,3983802
2023-07-15 16:34:30,4012059
2023-07-15 16:34:45,4024874
2023-07-15 16:35:00,4048867
2023-07-15 16:35:15,4060269
2023-07-15 16:35:30,4080295
2023-07-15 16:35:45,4089357
2023-07-15 16:36:00,4106672
2023-07-15 16:36:15,4115303
2023-07-15 16:36:30,4132539
2023-07-15 16:36:45,4141167
2023-07-15 16:37:00,4158402
2023-07-15 16:37:15,4167039
2023-07-15 16:37:30,4184277
2023-07-15 16:37:45,4192920
2023-07-15 16:38:00,4210183
2023-07-15 16:38:15,4218779
2023-07-15 16:38:30,4232572
2023-07-15 16:38:45,4239215
2023-07-15 16:39:00,4252537
2023-07-15 16:39:15,4259203
2023-07-15 16:39:30,4272498
2023-07-15 16:39:45,4279177
2023-07-15 16:40:00,4292496
2023-07-15 16:40:15,4299167
2023-07-15 16:40:30,4312480
2023-07-15 16:40:45,4319151
2023-07-15 16:41:00,4332450
2023-07-15 16:41:15,4339105
2023-07-15 16:41:30,4352434
2023-07-15 16:41:45,4359097
2023-07-15 16:42:00,4372421
2023-07-15 16:42:15,4379092
2023-07-15 16:42:30,4392416
2023-07-15 16:42:45,4399063
2023-07-15 16:43:00,4412407
2023-07-15 16:43:15,4419048
2023-07-15 16:43:30,4432375
2023-07-15 16:43:45,4439022
2023-07-15 16:44:00,4452357
2023-07-15 16:44:15,4459017
2023-07-15 16:44:30,4472350
2023-07-15 16:44:45,4479004
2023-07-15 16:45:00,4491448
2023-07-15 16:45:15,4496898
2023-07-15 16:45:30,4507565
2023-07-15 16:45:45,4512885
2023-07-15 16:46:00,4523554
2023-07-15 16:46:15,4528859
2023-07-15 16:46:30,4538455
2023-07-15 16:46:45,4542503
2023-07-15 16:47:00,4550415
2023-07-15 16:47:15,4553848
2023-07-15 16:47:30,4559416
2023-07-15 16:47:45,4562081
2023-07-15 16:48:00,4567389
2023-07-15 16:48:15,4570068
2023-07-15 16:48:30,4575292
2023-07-15 16:48:45,4577374
2023-07-15 16:49:00,4580249
2023-07-15 16:49:15,4581582
2023-07-15 16:49:30,4583045
2023-07-15 16:49:45,4583081
2023-07-15 16:50:00,4583081
2023-07-15 16:50:15,4583081
2023-07-15 16:50:30,4583081

