"Time","emqx-3","emqx-0","emqx-2","emqx-1","Used Memory"
2023-07-15 16:23:15,3.34 GB,3.54 GB,3.51 GB,3.60 GB,14.0 GB
2023-07-15 16:23:30,3.31 GB,3.55 GB,3.50 GB,3.59 GB,13.9 GB
2023-07-15 16:23:45,3.29 GB,3.53 GB,3.48 GB,3.58 GB,13.9 GB
2023-07-15 16:24:00,3.30 GB,3.51 GB,3.48 GB,3.56 GB,13.8 GB
2023-07-15 16:24:15,3.30 GB,3.49 GB,3.50 GB,3.56 GB,13.8 GB
2023-07-15 16:24:30,3.28 GB,3.49 GB,3.49 GB,3.54 GB,13.8 GB
2023-07-15 16:24:45,3.29 GB,3.48 GB,3.53 GB,3.53 GB,13.8 GB
2023-07-15 16:25:00,3.29 GB,3.47 GB,3.52 GB,3.53 GB,13.8 GB
2023-07-15 16:25:15,3.29 GB,3.49 GB,3.52 GB,3.54 GB,13.8 GB
2023-07-15 16:25:30,3.29 GB,3.50 GB,3.53 GB,3.54 GB,13.9 GB
2023-07-15 16:25:45,3.28 GB,3.48 GB,3.52 GB,3.53 GB,13.8 GB
2023-07-15 16:26:00,3.29 GB,3.50 GB,3.52 GB,3.53 GB,13.8 GB
2023-07-15 16:26:15,3.29 GB,3.49 GB,3.51 GB,3.52 GB,13.8 GB
2023-07-15 16:26:30,3.28 GB,3.50 GB,3.53 GB,3.53 GB,13.8 GB
2023-07-15 16:26:45,3.27 GB,3.49 GB,3.51 GB,3.52 GB,13.8 GB
2023-07-15 16:27:00,3.29 GB,3.49 GB,3.52 GB,3.54 GB,13.8 GB
2023-07-15 16:27:15,3.28 GB,3.48 GB,3.52 GB,3.53 GB,13.8 GB
2023-07-15 16:27:30,3.29 GB,3.49 GB,3.52 GB,3.52 GB,13.8 GB
2023-07-15 16:27:45,3.29 GB,3.48 GB,3.51 GB,3.53 GB,13.8 GB
2023-07-15 16:28:00,3.29 GB,3.49 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:28:15,3.28 GB,3.48 GB,3.51 GB,3.52 GB,13.8 GB
2023-07-15 16:28:30,3.27 GB,3.48 GB,3.52 GB,3.52 GB,13.8 GB
2023-07-15 16:28:45,3.29 GB,3.47 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:29:00,3.27 GB,3.48 GB,3.53 GB,3.52 GB,13.8 GB
2023-07-15 16:29:15,3.28 GB,3.48 GB,3.51 GB,3.52 GB,13.8 GB
2023-07-15 16:29:30,3.28 GB,3.49 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:29:45,3.29 GB,3.49 GB,3.52 GB,3.51 GB,13.8 GB
2023-07-15 16:30:00,3.31 GB,3.48 GB,3.51 GB,3.52 GB,13.8 GB
2023-07-15 16:30:15,3.30 GB,3.48 GB,3.51 GB,3.52 GB,13.8 GB
2023-07-15 16:30:30,3.31 GB,3.48 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:30:45,3.30 GB,3.48 GB,3.51 GB,3.52 GB,13.8 GB
2023-07-15 16:31:00,3.31 GB,3.48 GB,3.52 GB,3.52 GB,13.8 GB
2023-07-15 16:31:15,3.31 GB,3.48 GB,3.50 GB,3.52 GB,13.8 GB
2023-07-15 16:31:30,3.30 GB,3.48 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:31:45,3.31 GB,3.48 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:32:00,3.30 GB,3.49 GB,3.50 GB,3.51 GB,13.8 GB
2023-07-15 16:32:15,3.31 GB,3.48 GB,3.51 GB,3.52 GB,13.8 GB
2023-07-15 16:32:30,3.31 GB,3.49 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:32:45,3.31 GB,3.49 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:33:00,3.31 GB,3.49 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:33:15,3.31 GB,3.48 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:33:30,3.30 GB,3.48 GB,3.51 GB,3.51 GB,13.8 GB
2023-07-15 16:33:45,3.24 GB,3.32 GB,3.51 GB,3.51 GB,13.6 GB
2023-07-15 16:34:00,3.17 GB,3.34 GB,3.30 GB,3.34 GB,13.1 GB
2023-07-15 16:34:15,3.23 GB,3.44 GB,3.37 GB,3.40 GB,13.4 GB
2023-07-15 16:34:30,3.25 GB,3.45 GB,3.41 GB,3.43 GB,13.5 GB
2023-07-15 16:34:45,3.26 GB,3.47 GB,3.44 GB,3.46 GB,13.6 GB
2023-07-15 16:35:00,3.27 GB,3.48 GB,3.44 GB,3.46 GB,13.6 GB
2023-07-15 16:35:15,3.28 GB,3.47 GB,3.45 GB,3.46 GB,13.7 GB
2023-07-15 16:35:30,3.29 GB,3.47 GB,3.46 GB,3.46 GB,13.7 GB
2023-07-15 16:35:45,3.30 GB,3.48 GB,3.46 GB,3.45 GB,13.7 GB
2023-07-15 16:36:00,3.33 GB,3.48 GB,3.46 GB,3.45 GB,13.7 GB
2023-07-15 16:36:15,3.32 GB,3.50 GB,3.47 GB,3.46 GB,13.7 GB
2023-07-15 16:36:30,3.34 GB,3.49 GB,3.47 GB,3.46 GB,13.8 GB
2023-07-15 16:36:45,3.34 GB,3.48 GB,3.47 GB,3.47 GB,13.8 GB
2023-07-15 16:37:00,3.34 GB,3.49 GB,3.47 GB,3.47 GB,13.8 GB
2023-07-15 16:37:15,3.34 GB,3.48 GB,3.48 GB,3.47 GB,13.8 GB
2023-07-15 16:37:30,3.34 GB,3.48 GB,3.47 GB,3.48 GB,13.8 GB
2023-07-15 16:37:45,3.33 GB,3.48 GB,3.47 GB,3.48 GB,13.8 GB
2023-07-15 16:38:00,3.33 GB,3.48 GB,3.47 GB,3.48 GB,13.8 GB
2023-07-15 16:38:15,3.33 GB,3.48 GB,3.48 GB,3.48 GB,13.8 GB
2023-07-15 16:38:30,3.34 GB,3.48 GB,3.47 GB,3.48 GB,13.8 GB
2023-07-15 16:38:45,3.34 GB,3.48 GB,3.47 GB,3.48 GB,13.8 GB
2023-07-15 16:39:00,3.33 GB,3.48 GB,3.47 GB,3.48 GB,13.8 GB
2023-07-15 16:39:15,3.34 GB,3.48 GB,3.48 GB,3.48 GB,13.8 GB
2023-07-15 16:39:30,3.34 GB,3.48 GB,3.47 GB,3.48 GB,13.8 GB
2023-07-15 16:39:45,3.34 GB,3.48 GB,3.47 GB,3.48 GB,13.8 GB
2023-07-15 16:40:00,3.33 GB,3.49 GB,3.47 GB,3.49 GB,13.8 GB
2023-07-15 16:40:15,3.33 GB,3.49 GB,3.48 GB,3.48 GB,13.8 GB
2023-07-15 16:40:30,3.33 GB,3.48 GB,3.48 GB,3.49 GB,13.8 GB
2023-07-15 16:40:45,3.33 GB,3.48 GB,3.48 GB,3.49 GB,13.8 GB
2023-07-15 16:41:00,3.33 GB,3.48 GB,3.48 GB,3.49 GB,13.8 GB
2023-07-15 16:41:15,3.33 GB,3.48 GB,3.48 GB,3.48 GB,13.8 GB
2023-07-15 16:41:30,3.34 GB,3.48 GB,3.48 GB,3.49 GB,13.8 GB
2023-07-15 16:41:45,3.34 GB,3.48 GB,3.49 GB,3.49 GB,13.8 GB
2023-07-15 16:42:00,3.33 GB,3.48 GB,3.49 GB,3.49 GB,13.8 GB
2023-07-15 16:42:15,3.33 GB,3.48 GB,3.49 GB,3.49 GB,13.8 GB
2023-07-15 16:42:30,3.33 GB,3.48 GB,3.49 GB,3.49 GB,13.8 GB
2023-07-15 16:42:45,3.33 GB,3.48 GB,3.48 GB,3.48 GB,13.8 GB
2023-07-15 16:43:00,3.34 GB,3.48 GB,3.49 GB,3.49 GB,13.8 GB
2023-07-15 16:43:15,3.33 GB,3.48 GB,3.49 GB,3.48 GB,13.8 GB
2023-07-15 16:43:30,3.33 GB,3.48 GB,3.49 GB,3.49 GB,13.8 GB
2023-07-15 16:43:45,3.33 GB,3.48 GB,3.49 GB,3.49 GB,13.8 GB
2023-07-15 16:44:00,3.33 GB,3.48 GB,3.49 GB,3.48 GB,13.8 GB
2023-07-15 16:44:15,3.34 GB,3.48 GB,3.49 GB,3.48 GB,13.8 GB
2023-07-15 16:44:30,3.33 GB,3.48 GB,3.48 GB,3.48 GB,13.8 GB
2023-07-15 16:44:45,3.33 GB,3.48 GB,3.48 GB,3.48 GB,13.8 GB
2023-07-15 16:45:00,3.33 GB,3.49 GB,3.49 GB,3.48 GB,13.8 GB
2023-07-15 16:45:15,3.33 GB,3.48 GB,3.50 GB,3.48 GB,13.8 GB
2023-07-15 16:45:30,3.32 GB,3.48 GB,3.49 GB,3.48 GB,13.8 GB
2023-07-15 16:45:45,3.34 GB,3.49 GB,3.49 GB,3.48 GB,13.8 GB
2023-07-15 16:46:00,3.33 GB,3.49 GB,3.49 GB,3.47 GB,13.8 GB
2023-07-15 16:46:15,3.33 GB,3.49 GB,3.49 GB,3.47 GB,13.8 GB
2023-07-15 16:46:30,3.33 GB,3.49 GB,3.49 GB,3.47 GB,13.8 GB
2023-07-15 16:46:45,3.33 GB,3.48 GB,3.49 GB,3.47 GB,13.8 GB
2023-07-15 16:47:00,3.32 GB,3.49 GB,3.50 GB,3.47 GB,13.8 GB
2023-07-15 16:47:15,3.32 GB,3.49 GB,3.49 GB,3.48 GB,13.8 GB
2023-07-15 16:47:30,3.33 GB,3.49 GB,3.50 GB,3.47 GB,13.8 GB
2023-07-15 16:47:45,3.33 GB,3.48 GB,3.50 GB,3.48 GB,13.8 GB
2023-07-15 16:48:00,3.32 GB,3.48 GB,3.49 GB,3.48 GB,13.8 GB
2023-07-15 16:48:15,3.33 GB,3.49 GB,3.50 GB,3.47 GB,13.8 GB
