"Time","emqx-3","emqx-0","emqx-2","emqx-1"
2023-07-15 16:35:00,6493,6481,6428,6474
2023-07-15 16:35:15,6493,6481,6428,6474
2023-07-15 16:35:30,6493,6481,6428,6474
2023-07-15 16:35:45,6493,6481,6428,6474
2023-07-15 16:36:00,6493,6481,6428,6474
2023-07-15 16:36:15,6493,6481,6428,6474
2023-07-15 16:36:30,6493,6481,6428,6474
2023-07-15 16:36:45,6493,6481,6428,6474
2023-07-15 16:37:00,6493,6481,6428,6474
2023-07-15 16:37:15,6493,6481,6428,6474
2023-07-15 16:37:30,6493,6481,6428,6474
2023-07-15 16:37:45,6493,6481,6428,6474
2023-07-15 16:38:00,6493,6481,6428,6474
2023-07-15 16:38:15,6493,6481,6428,6474
2023-07-15 16:38:30,6493,6481,6428,6474
2023-07-15 16:38:45,6493,6481,6428,6474
2023-07-15 16:39:00,6493,6481,6428,6474
2023-07-15 16:39:15,6493,6481,6428,6474
2023-07-15 16:39:30,6493,6481,6428,6474
2023-07-15 16:39:45,6493,6481,6428,6474
2023-07-15 16:40:00,6493,6481,6428,6474
2023-07-15 16:40:15,6493,6481,6428,6474
2023-07-15 16:40:30,6493,6481,6428,6474
2023-07-15 16:40:45,6493,6481,6428,6474
2023-07-15 16:41:00,6493,6481,6428,6474
2023-07-15 16:41:15,6493,6481,6428,6474
2023-07-15 16:41:30,6493,6481,6428,6474
2023-07-15 16:41:45,6493,6481,6428,6474
2023-07-15 16:42:00,6493,6481,6428,6474
2023-07-15 16:42:15,6493,6481,6428,6474
2023-07-15 16:42:30,6493,6481,6428,6474
2023-07-15 16:42:45,6493,6481,6428,6474
2023-07-15 16:43:00,6493,6481,6428,6474
2023-07-15 16:43:15,6493,6481,6428,6474
2023-07-15 16:43:30,6493,6481,6428,6474
2023-07-15 16:43:45,6493,6481,6428,6474
2023-07-15 16:44:00,6493,6481,6428,6474
2023-07-15 16:44:15,6493,6481,6428,6474
2023-07-15 16:44:30,6493,6481,6428,6474
2023-07-15 16:44:45,6493,6481,6428,6474
2023-07-15 16:45:00,6493,6481,6428,6474
2023-07-15 16:45:15,6493,6481,6428,6474
