"Time","emqx-0"
2023-07-17 21:07:00,7675
2023-07-17 21:07:15,7755
2023-07-17 21:07:30,8026
2023-07-17 21:07:45,8186
2023-07-17 21:08:00,8606
2023-07-17 21:08:15,8816
2023-07-17 21:08:30,9304
2023-07-17 21:08:45,9601
2023-07-17 21:09:00,10033
2023-07-17 21:09:15,10341
2023-07-17 21:09:30,10725
2023-07-17 21:09:45,11046
2023-07-17 21:10:00,11415
2023-07-17 21:10:15,11709
2023-07-17 21:10:30,12130
2023-07-17 21:10:45,12399
2023-07-17 21:11:00,12905
2023-07-17 21:11:15,13136
2023-07-17 21:11:30,13668
2023-07-17 21:11:45,13858
2023-07-17 21:12:00,14430
2023-07-17 21:12:15,14590
2023-07-17 21:12:30,15174
2023-07-17 21:12:45,15334
2023-07-17 21:13:00,15914
2023-07-17 21:13:15,16101
2023-07-17 21:13:30,16645
2023-07-17 21:13:45,16867
2023-07-17 21:14:00,17363
2023-07-17 21:14:15,17620
2023-07-17 21:14:30,18072
2023-07-17 21:14:45,18371
2023-07-17 21:15:00,18809
2023-07-17 21:15:15,19129
2023-07-17 21:15:30,19571
2023-07-17 21:15:45,19893
2023-07-17 21:16:00,20341
2023-07-17 21:16:15,20661
2023-07-17 21:16:30,21114
2023-07-17 21:16:45,21434
2023-07-17 21:17:00,21888
2023-07-17 21:17:15,22210
2023-07-17 21:17:30,22662
2023-07-17 21:17:45,22983
2023-07-17 21:18:00,23446
2023-07-17 21:18:15,23767
2023-07-17 21:18:30,24230
2023-07-17 21:18:45,24551
2023-07-17 21:19:00,25015
2023-07-17 21:19:15,25336
2023-07-17 21:19:30,25809
2023-07-17 21:19:45,26128
2023-07-17 21:20:00,26596
2023-07-17 21:20:15,26901
2023-07-17 21:20:30,27368
2023-07-17 21:20:45,27661
2023-07-17 21:21:00,28146
2023-07-17 21:21:15,28437
2023-07-17 21:21:30,28946
2023-07-17 21:21:45,29209
2023-07-17 21:22:00,29636
2023-07-17 21:22:15,29821
2023-07-17 21:22:30,30240
2023-07-17 21:23:00,30913
2023-07-17 21:23:15,31155
2023-07-17 21:23:30,31617
2023-07-17 21:23:45,31830
2023-07-17 21:24:00,32279
2023-07-17 21:24:30,32980
2023-07-17 21:24:45,33243
2023-07-17 21:25:00,33780
2023-07-17 21:25:15,34010
2023-07-17 21:26:00,35290
2023-07-17 21:26:15,35514
2023-07-17 21:26:30,35967
2023-07-17 21:26:45,36139
2023-07-17 21:27:15,36561
2023-07-17 21:27:30,36609
2023-07-17 21:27:45,36612
2023-07-17 21:28:00,36612
2023-07-17 21:28:15,36612
2023-07-17 21:28:30,36612
2023-07-17 21:28:45,36612
2023-07-17 21:29:00,36612
2023-07-17 21:29:15,36612
2023-07-17 21:29:30,36612
2023-07-17 21:29:45,36612
2023-07-17 21:30:00,36612
2023-07-17 21:30:15,36612
2023-07-17 21:30:30,36612
2023-07-17 21:30:45,36612
2023-07-17 21:31:00,36612
2023-07-17 21:31:15,36612
2023-07-17 21:31:30,36612
2023-07-17 21:31:45,36612
2023-07-17 21:32:00,36612
2023-07-17 21:32:15,36612
2023-07-17 21:32:30,36612
2023-07-17 21:32:45,36612
2023-07-17 21:33:00,36612
2023-07-17 21:33:15,36612
2023-07-17 21:33:30,36612
2023-07-17 21:33:45,36612
2023-07-17 21:34:00,36612
2023-07-17 21:34:15,36612
2023-07-17 21:34:30,36612
2023-07-17 21:34:45,36612
2023-07-17 21:35:00,36612
2023-07-17 21:35:15,36612
2023-07-17 21:35:30,36612
2023-07-17 21:35:45,36612
2023-07-17 21:36:00,36612
2023-07-17 21:36:15,36612
2023-07-17 21:36:30,36612
2023-07-17 21:36:45,36612
2023-07-17 21:37:00,36612
2023-07-17 21:37:15,36612
2023-07-17 21:37:30,36612
2023-07-17 21:37:45,36612
2023-07-17 21:38:00,36612
2023-07-17 21:38:15,36612
2023-07-17 21:38:30,36612
2023-07-17 21:38:45,36612
