"Time","total"
2023-07-17 21:07:00,120
2023-07-17 21:07:15,120
2023-07-17 21:07:30,121
2023-07-17 21:07:45,121
2023-07-17 21:08:00,122
2023-07-17 21:08:15,122
2023-07-17 21:08:30,123
2023-07-17 21:08:45,123
2023-07-17 21:09:00,124
2023-07-17 21:09:15,124
2023-07-17 21:09:30,124
2023-07-17 21:09:45,125
2023-07-17 21:10:00,125
2023-07-17 21:10:15,126
2023-07-17 21:10:30,126
2023-07-17 21:10:45,127
2023-07-17 21:11:00,127
2023-07-17 21:11:15,128
2023-07-17 21:11:30,128
2023-07-17 21:11:45,128
2023-07-17 21:12:00,129
2023-07-17 21:12:15,129
2023-07-17 21:12:30,130
2023-07-17 21:12:45,130
2023-07-17 21:13:00,131
2023-07-17 21:13:15,131
2023-07-17 21:13:30,132
2023-07-17 21:13:45,132
2023-07-17 21:14:00,133
2023-07-17 21:14:15,133
2023-07-17 21:14:30,134
2023-07-17 21:14:45,134
2023-07-17 21:15:00,135
2023-07-17 21:15:15,135
2023-07-17 21:15:30,136
2023-07-17 21:15:45,136
2023-07-17 21:16:00,136
2023-07-17 21:16:15,137
2023-07-17 21:16:30,137
2023-07-17 21:16:45,138
2023-07-17 21:17:00,138
2023-07-17 21:17:15,139
2023-07-17 21:17:30,139
2023-07-17 21:17:45,140
2023-07-17 21:18:00,140
2023-07-17 21:18:15,141
2023-07-17 21:18:30,141
2023-07-17 21:18:45,142
2023-07-17 21:19:00,142
2023-07-17 21:19:15,143
2023-07-17 21:19:30,143
2023-07-17 21:19:45,144
2023-07-17 21:20:00,144
2023-07-17 21:20:15,145
2023-07-17 21:20:30,145
2023-07-17 21:20:45,146
2023-07-17 21:21:00,146
2023-07-17 21:21:15,147
2023-07-17 21:21:30,147
2023-07-17 21:21:45,148
2023-07-17 21:22:00,147
2023-07-17 21:22:15,148
2023-07-17 21:22:30,147
2023-07-17 21:23:00,147
2023-07-17 21:23:15,145
2023-07-17 21:23:30,140
2023-07-17 21:23:45,141
2023-07-17 21:24:00,139
2023-07-17 21:24:30,141
2023-07-17 21:24:45,142
2023-07-17 21:25:00,145
2023-07-17 21:25:15,146
2023-07-17 21:26:00,146
2023-07-17 21:26:15,145
2023-07-17 21:26:30,148
2023-07-17 21:26:45,146
2023-07-17 21:27:15,149
2023-07-17 21:27:30,150
2023-07-17 21:27:45,150
2023-07-17 21:28:00,150
2023-07-17 21:28:15,150
2023-07-17 21:28:30,150
2023-07-17 21:28:45,150
2023-07-17 21:29:00,150
2023-07-17 21:29:15,150
2023-07-17 21:29:30,150
2023-07-17 21:29:45,150
2023-07-17 21:30:00,150
2023-07-17 21:30:15,150
2023-07-17 21:30:30,150
2023-07-17 21:30:45,150
2023-07-17 21:31:00,150
2023-07-17 21:31:15,150
2023-07-17 21:31:30,150
2023-07-17 21:31:45,150
2023-07-17 21:32:00,150
2023-07-17 21:32:15,150
2023-07-17 21:32:30,150
2023-07-17 21:32:45,150
2023-07-17 21:33:00,150
2023-07-17 21:33:15,150
2023-07-17 21:33:30,150
2023-07-17 21:33:45,150
2023-07-17 21:34:00,150
2023-07-17 21:34:15,150
2023-07-17 21:34:30,150
2023-07-17 21:34:45,150
2023-07-17 21:35:00,150
2023-07-17 21:35:15,150
2023-07-17 21:35:30,150
2023-07-17 21:35:45,150
2023-07-17 21:36:00,150
2023-07-17 21:36:15,150
2023-07-17 21:36:30,150
2023-07-17 21:36:45,150
2023-07-17 21:37:00,150
2023-07-17 21:37:15,150
2023-07-17 21:37:30,150
2023-07-17 21:37:45,150
2023-07-17 21:38:00,150
2023-07-17 21:38:15,150
2023-07-17 21:38:30,150
2023-07-17 21:38:45,150
2023-07-17 21:39:00,150
2023-07-17 21:39:15,150
2023-07-17 21:39:30,150
2023-07-17 21:39:45,150
