"Time","Bytes Sent","Bytes received"
2023-06-22 17:59:30,7329542868,7323345812
2023-06-22 17:59:45,7332761797,7326280751
2023-06-22 18:00:00,7334913459,7328588692
2023-06-22 18:00:15,7337963761,7331380259
2023-06-22 18:00:30,7340013464,7333559397
2023-06-22 18:00:45,7342982852,7336264816
2023-06-22 18:01:00,7343301038,7336783042
2023-06-22 18:01:15,7347757831,7340914905
2023-06-22 18:01:30,7349540570,7342881606
2023-06-22 18:01:45,7352232407,7345284445
2023-06-22 18:02:00,7353929839,7347158873
2023-06-22 18:02:15,7356485698,7349467983
2023-06-22 18:02:30,7358078967,7351220962
2023-06-22 18:02:45,7360472384,7353385805
2023-06-22 18:03:00,7362020473,7355064035
2023-06-22 18:03:15,7364226708,7357071681
2023-06-22 18:03:30,7365684894,7358634985
2023-06-22 18:03:45,7367821095,7360554562
2023-06-22 18:04:00,7369102685,7361995580
2023-06-22 18:04:15,7371132863,7363769779
2023-06-22 18:04:30,7372308396,7365133455
2023-06-22 18:04:45,7374186132,7366869191
2023-06-22 18:05:00,7375233376,7367996324
2023-06-22 18:05:15,7376926604,7369505402
2023-06-22 18:05:30,7377910962,7370620154
2023-06-22 18:05:45,7379468693,7372000921
2023-06-22 18:06:00,7380399315,7373040737
2023-06-22 18:06:15,7381747952,7374243310
2023-06-22 18:06:30,7382605071,7375190525
2023-06-22 18:06:45,7383801548,7376284688
2023-06-22 18:07:00,7384540857,7377089819
2023-06-22 18:07:15,7385608272,7378068704
2023-06-22 18:07:30,7386276176,7378790842
2023-06-22 18:07:45,7387135469,7379595859
2023-06-22 18:08:00,7387744718,7380231152
2023-06-22 18:08:15,7388448855,7380916464
2023-06-22 18:08:30,7388945819,7381413116
2023-06-22 18:08:45,7389535429,7381997075
2023-06-22 18:09:00,7389957113,7382407568
2023-06-22 18:09:15,7390341303,7382816533
2023-06-22 18:09:30,7390707224,7383146911
2023-06-22 18:09:45,7391028504,7383441591
2023-06-22 18:10:00,7391185786,7383628346
2023-06-22 18:10:15,7391424266,7383823576
2023-06-22 18:10:30,7391499693,7383919241

