"Time","emqx-1","emqx-2","emqx-0","Total"
2023-06-22 17:27:45,0,0,,0
2023-06-22 17:28:00,0,0,0,0
2023-06-22 17:28:15,0,0,0,0
2023-06-22 17:28:30,0,0,0,0
2023-06-22 17:28:45,0,0,0,0
2023-06-22 17:29:00,0,0,0,0
2023-06-22 17:29:15,0,0,0,0
2023-06-22 17:29:30,0,0,0,0
2023-06-22 17:29:45,0,0,0,0
2023-06-22 17:30:00,0,0,0,0
2023-06-22 17:30:15,0,0,0,0
2023-06-22 17:30:30,0,0,0,0
2023-06-22 17:30:45,0,0,0,0
2023-06-22 17:31:00,0,0,0,0
2023-06-22 17:31:15,1562,735,46,2343
2023-06-22 17:31:30,4132,1987,1236,7355
2023-06-22 17:31:45,10725,5987,2444,19156
2023-06-22 17:32:00,15146,9754,6998,31898
2023-06-22 17:32:15,25923,19004,10193,55120
2023-06-22 17:32:30,32880,25583,17985,76448
2023-06-22 17:32:45,49464,40175,22192,111831
2023-06-22 17:33:00,58980,48812,32797,140589
2023-06-22 17:33:15,79227,68057,40032,187316
2023-06-22 17:33:30,90481,78292,56056,224829
2023-06-22 17:33:45,117074,98974,66128,282176
2023-06-22 17:34:00,132378,109313,87234,328925
2023-06-22 17:34:15,168026,130683,98533,397242
2023-06-22 17:34:30,187946,142139,122341,452426
2023-06-22 17:34:45,230820,168097,134683,533600
2023-06-22 17:35:00,254118,182530,159356,596004
2023-06-22 17:35:15,305634,212953,171674,690261
2023-06-22 17:35:30,333851,229293,197150,760294
2023-06-22 17:35:45,391200,264106,210634,865940
2023-06-22 17:36:00,420804,283910,240353,945067
2023-06-22 17:36:15,482407,324364,256014,1062785
2023-06-22 17:36:30,515804,345669,287339,1148812
2023-06-22 17:36:45,586942,390924,303018,1280884
2023-06-22 17:37:00,623277,416213,334708,1374198
2023-06-22 17:37:15,697450,471536,350558,1519544
2023-06-22 17:37:30,736068,500603,382632,1619303
2023-06-22 17:37:45,816337,559441,400513,1776291
2023-06-22 17:38:00,858475,589386,436583,1884444
2023-06-22 17:38:15,946527,650983,456073,2053583
2023-06-22 17:38:30,991313,683405,496084,2170802
2023-06-22 17:38:45,1083689,751186,516607,2351482
2023-06-22 17:39:00,1130719,786783,560160,2477662
2023-06-22 17:39:15,1225213,861850,582842,2669905
2023-06-22 17:39:30,1273018,902230,629338,2804586
2023-06-22 17:39:45,1370010,985470,652899,3008379
2023-06-22 17:40:00,1418978,1027750,704869,3151597
2023-06-22 17:40:15,1518048,1113870,732582,3364500
2023-06-22 17:40:30,1570068,1157574,790542,3518184
2023-06-22 17:40:45,1677282,1244999,820115,3742396
2023-06-22 17:41:00,1732582,1289713,881275,3903570
2023-06-22 17:41:15,1845674,1381083,913034,4139791
2023-06-22 17:41:30,1902326,1427141,978885,4308352
2023-06-22 17:41:45,2015662,1523955,1012276,4551893
2023-06-22 17:42:00,2072269,1572960,1079140,4724369
2023-06-22 17:42:15,2188334,1671590,1112413,4972337
2023-06-22 17:42:30,2246482,1721662,1178952,5147096
2023-06-22 17:42:45,2363407,1822523,1212229,5398159
2023-06-22 17:43:00,2422063,1873032,1278821,5573916
2023-06-22 17:43:15,2539045,1976096,1312102,5827243
2023-06-22 17:43:30,2597583,2027984,1378627,6004194
2023-06-22 17:43:45,2714794,2131982,1411925,6258701
2023-06-22 17:44:00,2773422,2184558,1478629,6436609
2023-06-22 17:44:15,2890619,2290701,1511743,6693063
2023-06-22 17:44:30,2949014,2343627,1578750,6871391
2023-06-22 17:44:45,3065849,2449672,1612953,7128474
2023-06-22 17:45:00,3124155,2502351,1682278,7308784
2023-06-22 17:45:15,3241530,2608543,1716941,7567014
2023-06-22 17:45:30,3300781,2661755,1786218,7748754
2023-06-22 17:45:45,3420425,2768051,1820830,8009306
2023-06-22 17:46:00,3480595,2821235,1889901,8191731
2023-06-22 17:46:15,3600912,2927574,1924349,8452835
2023-06-22 17:46:30,3661032,2980755,1993132,8634919
2023-06-22 17:46:45,3780980,3087350,2027555,8895885
2023-06-22 17:47:00,3841086,3140744,2095851,9077681
2023-06-22 17:47:15,3961008,3247525,2130076,9338609
2023-06-22 17:47:30,4020849,3300920,2198384,9520153
2023-06-22 17:47:45,4141094,3407916,2232683,9781693
2023-06-22 17:48:00,4200852,3461455,2300728,9963035
2023-06-22 17:48:15,4317154,3568506,2334259,10219919
2023-06-22 17:48:30,4373565,3622099,2399622,10395286
2023-06-22 17:48:45,4484102,3727429,2431471,10643002
2023-06-22 17:49:00,4538501,3779054,2493432,10810987
2023-06-22 17:49:15,4643958,3881319,2523864,11049141
2023-06-22 17:49:30,4695347,3930729,2584174,11210250
2023-06-22 17:49:45,4795928,4028109,2613823,11437860
2023-06-22 17:50:00,4845736,4076114,2669745,11591595
2023-06-22 17:50:15,4942953,4171079,2696190,11810222
2023-06-22 17:50:30,4990352,4218509,2747407,11956268
2023-06-22 17:50:45,5081823,4313011,2771220,12166054
2023-06-22 17:51:00,5126463,4360231,2817651,12304345
2023-06-22 17:51:15,5208998,4454772,2840278,12504048
2023-06-22 17:51:30,5248641,4501702,2884910,12635253
2023-06-22 17:51:45,5324545,4590991,2907203,12822739
2023-06-22 17:52:00,5361381,4634503,2951690,12947574
2023-06-22 17:52:15,5432013,4719373,2973464,13124850
2023-06-22 17:52:30,5465922,4761081,3015478,13242481
2023-06-22 17:52:45,5531490,4841949,3035844,13409283
2023-06-22 17:53:00,5563099,4880728,3076069,13519896
2023-06-22 17:53:15,5623767,4955728,3096140,13675635
2023-06-22 17:53:30,5651932,4991721,3136334,13779987
2023-06-22 17:53:45,5706910,5060303,3156413,13923626
2023-06-22 17:54:00,5733664,5092057,3196624,14022345
2023-06-22 17:54:15,5783485,5154165,3216725,14154375
2023-06-22 17:54:30,5806835,5184963,3255699,14247497
2023-06-22 17:54:45,5850249,5245302,3273821,14369372
2023-06-22 17:55:00,5870968,5274541,3309604,14455113
2023-06-22 17:55:15,5911228,5329327,3325806,14566361
2023-06-22 17:55:30,5931127,5355268,3357892,14644287
2023-06-22 17:55:45,5967988,5403902,3373407,14745297
2023-06-22 17:56:00,5985854,5427016,3403267,14816137
2023-06-22 17:56:15,6020447,5467747,3417568,14905762
2023-06-22 17:56:30,6037145,5485957,3445476,14968578
2023-06-22 17:56:45,6069423,5520696,3458191,15048310
2023-06-22 17:57:00,6085093,5537755,3477611,15100459
2023-06-22 17:57:15,6113549,5570329,3485990,15169868
2023-06-22 17:57:30,6124899,5586258,3501455,15212612
2023-06-22 17:57:45,6145438,5617310,3508159,15270907
2023-06-22 17:58:00,6155387,5630346,3519140,15304873
2023-06-22 17:58:15,6175328,5655591,3523448,15354367
2023-06-22 17:58:30,6185162,5666986,3531439,15383587
2023-06-22 17:58:45,6203282,5688294,3535427,15427003
2023-06-22 17:59:00,6211765,5698956,3543419,15454140
2023-06-22 17:59:15,6225293,5719646,3547419,15492358
2023-06-22 17:59:30,6231952,5729210,3555416,15516578
2023-06-22 17:59:45,6245279,5747887,3559417,15552583
2023-06-22 18:00:00,6251767,5757200,3567415,15576382
2023-06-22 18:00:15,6263199,5775852,3571414,15610465
2023-06-22 18:00:30,6268535,5785191,3579402,15633128
2023-06-22 18:00:45,6279175,5803828,3583300,15666303
2023-06-22 18:01:00,6279175,5803828,3586692,15669695
2023-06-22 18:01:15,6295166,5831808,3592396,15719370
2023-06-22 18:01:30,6300330,5841114,3597549,15738993
2023-06-22 18:01:45,6309087,5859741,3600216,15769044
2023-06-22 18:02:00,6313072,5869083,3605549,15787704
2023-06-22 18:02:15,6321060,5886930,3608205,15816195
2023-06-22 18:02:30,6325052,5895106,3613528,15833686
2023-06-22 18:02:45,6333051,5911097,3616190,15860338
2023-06-22 18:03:00,6336749,5919070,3621515,15877334
2023-06-22 18:03:15,6342617,5935051,3624184,15901852
2023-06-22 18:03:30,6345294,5943039,3629515,15917848
2023-06-22 18:03:45,6350608,5959028,3631953,15941589
2023-06-22 18:04:00,6353266,5967031,3635283,15955580
2023-06-22 18:04:15,6358606,5982950,3636603,15978159
2023-06-22 18:04:30,6361266,5990408,3639277,15990951
2023-06-22 18:04:45,6366601,6003989,3641151,16011741
2023-06-22 18:05:00,6369266,6010654,3643266,16023186
2023-06-22 18:05:15,6374601,6022755,3644603,16041959
2023-06-22 18:05:30,6377266,6028118,3647266,16052650
2023-06-22 18:05:45,6382521,6038786,3648603,16069910
2023-06-22 18:06:00,6384626,6044117,3651266,16080009
2023-06-22 18:06:15,6387534,6054783,3652600,16094917
2023-06-22 18:06:30,6388866,6060076,3655266,16104208
2023-06-22 18:06:45,6391534,6069256,3656600,16117390
2023-06-22 18:07:00,6392866,6073247,3659266,16125379
2023-06-22 18:07:15,6395534,6080981,3660600,16137115
2023-06-22 18:07:30,6396857,6084187,3663266,16144310
2023-06-22 18:07:45,6399521,6089584,3664600,16153705
2023-06-22 18:08:00,6400850,6092146,3667266,16160262
2023-06-22 18:08:15,6403517,6095784,3668600,16167901
2023-06-22 18:08:30,6404849,6097117,3671253,16173219
2023-06-22 18:08:45,6407517,6099469,3672588,16179574
2023-06-22 18:09:00,6408849,6099955,3675250,16184054
2023-06-22 18:09:15,6411517,6100000,3676584,16188101
2023-06-22 18:09:30,6412849,6100000,3679124,16191973
2023-06-22 18:09:45,6415517,6100000,3679825,16195342
2023-06-22 18:10:00,6416849,6100000,3680000,16196849
2023-06-22 18:10:15,6419304,6100000,3680000,16199304
2023-06-22 18:10:30,6419900,6100000,3680000,16199900

