"Time","emqx-1","emqx-2","emqx-0","Used Memory"
2023-06-22 17:27:45,1.55 GB,1.79 GB,,3.34 GB
2023-06-22 17:28:00,1.52 GB,1.77 GB,1.67 GB,4.96 GB
2023-06-22 17:28:15,1.51 GB,1.77 GB,1.67 GB,4.95 GB
2023-06-22 17:28:30,1.51 GB,1.77 GB,1.67 GB,4.95 GB
2023-06-22 17:28:45,1.51 GB,1.77 GB,1.68 GB,4.96 GB
2023-06-22 17:29:00,1.51 GB,1.77 GB,1.67 GB,4.95 GB
2023-06-22 17:29:15,1.51 GB,1.77 GB,1.67 GB,4.95 GB
2023-06-22 17:29:30,1.51 GB,1.76 GB,1.67 GB,4.95 GB
2023-06-22 17:29:45,1.51 GB,1.77 GB,1.67 GB,4.95 GB
2023-06-22 17:30:00,1.51 GB,1.77 GB,1.67 GB,4.96 GB
2023-06-22 17:30:15,1.51 GB,1.77 GB,1.68 GB,4.96 GB
2023-06-22 17:30:30,1.51 GB,1.78 GB,1.67 GB,4.96 GB
2023-06-22 17:30:45,1.51 GB,1.77 GB,1.68 GB,4.96 GB
2023-06-22 17:31:00,1.51 GB,1.77 GB,1.67 GB,4.94 GB
2023-06-22 17:31:15,1.51 GB,1.77 GB,1.68 GB,4.96 GB
2023-06-22 17:31:30,1.51 GB,1.78 GB,1.68 GB,4.97 GB
2023-06-22 17:31:45,1.52 GB,1.79 GB,1.68 GB,4.98 GB
2023-06-22 17:32:00,1.53 GB,1.80 GB,1.70 GB,5.04 GB
2023-06-22 17:32:15,1.55 GB,1.82 GB,1.71 GB,5.09 GB
2023-06-22 17:32:30,1.57 GB,1.84 GB,1.74 GB,5.15 GB
2023-06-22 17:32:45,1.59 GB,1.85 GB,1.75 GB,5.19 GB
2023-06-22 17:33:00,1.60 GB,1.86 GB,1.76 GB,5.22 GB
2023-06-22 17:33:15,1.62 GB,1.87 GB,1.78 GB,5.26 GB
2023-06-22 17:33:30,1.61 GB,1.88 GB,1.78 GB,5.27 GB
2023-06-22 17:33:45,1.64 GB,1.89 GB,1.81 GB,5.34 GB
2023-06-22 17:34:00,1.65 GB,1.90 GB,1.80 GB,5.35 GB
2023-06-22 17:34:15,1.67 GB,1.91 GB,1.81 GB,5.39 GB
2023-06-22 17:34:30,1.68 GB,1.92 GB,1.83 GB,5.44 GB
