"Time","emqx-1","emqx-2","emqx-0"
2023-06-22 17:57:00,11468148,10969199,9013329
2023-06-22 17:57:15,11526137,11032847,9036269
2023-06-22 17:57:30,11551346,11063455,9080367
2023-06-22 17:57:45,11597119,11121159,9099582
2023-06-22 17:58:00,11619022,11146505,9135119
2023-06-22 17:58:15,11660899,11194566,9149918
2023-06-22 17:58:30,11681654,11217255,9180066
2023-06-22 17:58:45,11719099,11259465,9193637
2023-06-22 17:59:00,11737472,11280605,9222229
2023-06-22 17:59:15,11769258,11320028,9234872
2023-06-22 17:59:30,11785200,11339146,9261457
2023-06-22 17:59:45,11815963,11375899,9273693
2023-06-22 18:00:00,11831534,11394576,9299900
2023-06-22 18:00:15,11859848,11430470,9311860
2023-06-22 18:00:30,11873958,11448776,9337278
2023-06-22 18:00:45,11901158,11484183,9348936
2023-06-22 18:01:00,11901158,11484183,9360841
2023-06-22 18:01:15,11941590,11536724,9382732
2023-06-22 18:01:30,11955085,11554335,9403800
2023-06-22 18:01:45,11979229,11588080,9413550
2023-06-22 18:02:00,11991175,11605315,9434667
2023-06-22 18:02:15,12014107,11637844,9444205
2023-06-22 18:02:30,12025732,11653549,9464598
2023-06-22 18:02:45,12047984,11683644,9473742
2023-06-22 18:03:00,12059139,11698902,9493692
2023-06-22 18:03:15,12078715,11728059,9502500
2023-06-22 18:03:30,12088573,11742997,9521744
2023-06-22 18:03:45,12107171,11771735,9530158
2023-06-22 18:04:00,12116592,11786290,9546816
2023-06-22 18:04:15,12134511,11814339,9553776
2023-06-22 18:04:30,12143710,11828141,9569319
2023-06-22 18:04:45,12160927,11853087,9578919
2023-06-22 18:05:00,12169856,11865822,9590689
2023-06-22 18:05:15,12186650,11888757,9597055
2023-06-22 18:05:30,12195206,11899703,9611145
2023-06-22 18:05:45,12211376,11920588,9617214
2023-06-22 18:06:00,12219144,11931233,9630950
2023-06-22 18:06:15,12232073,11951316,9636663
2023-06-22 18:06:30,12238782,11961713,9649844
2023-06-22 18:06:45,12251070,11979689,9655330
2023-06-22 18:07:00,12257394,11988297,9667754
