"Time","emqx-0","Used Memory"
2023-06-23 20:50:00,3.25 GB,3.25 GB
2023-06-23 20:50:15,3.25 GB,3.25 GB
2023-06-23 20:50:30,3.26 GB,3.26 GB
2023-06-23 20:50:45,3.27 GB,3.27 GB
2023-06-23 20:51:00,3.25 GB,3.25 GB
2023-06-23 20:51:15,3.26 GB,3.26 GB
2023-06-23 20:51:30,3.25 GB,3.25 GB
2023-06-23 20:51:45,3.25 GB,3.25 GB
2023-06-23 20:52:00,3.25 GB,3.25 GB
2023-06-23 20:52:15,3.25 GB,3.25 GB
2023-06-23 20:52:30,3.24 GB,3.24 GB
2023-06-23 20:52:45,3.24 GB,3.24 GB
2023-06-23 20:53:00,3.25 GB,3.25 GB
2023-06-23 20:53:15,3.25 GB,3.25 GB
2023-06-23 20:53:30,3.25 GB,3.25 GB
2023-06-23 20:53:45,3.26 GB,3.26 GB
2023-06-23 20:54:00,3.25 GB,3.25 GB
2023-06-23 20:54:15,3.25 GB,3.25 GB
2023-06-23 20:54:30,3.25 GB,3.25 GB
2023-06-23 20:54:45,3.25 GB,3.25 GB
2023-06-23 20:55:00,3.25 GB,3.25 GB
2023-06-23 20:55:15,3.25 GB,3.25 GB
2023-06-23 20:55:30,3.26 GB,3.26 GB
2023-06-23 20:55:45,3.26 GB,3.26 GB
2023-06-23 20:56:00,3.25 GB,3.25 GB
2023-06-23 20:56:15,3.25 GB,3.25 GB
2023-06-23 20:56:30,3.26 GB,3.26 GB
2023-06-23 20:56:45,3.26 GB,3.26 GB
2023-06-23 20:57:00,3.26 GB,3.26 GB
2023-06-23 20:57:15,3.26 GB,3.26 GB
2023-06-23 20:57:30,3.25 GB,3.25 GB
2023-06-23 20:57:45,3.25 GB,3.25 GB
2023-06-23 20:58:00,3.26 GB,3.26 GB
2023-06-23 20:58:15,3.26 GB,3.26 GB
2023-06-23 20:58:30,3.26 GB,3.26 GB
2023-06-23 20:58:45,3.27 GB,3.27 GB
2023-06-23 20:59:00,3.27 GB,3.27 GB
2023-06-23 20:59:15,3.27 GB,3.27 GB
2023-06-23 20:59:30,3.27 GB,3.27 GB
2023-06-23 20:59:45,3.27 GB,3.27 GB
2023-06-23 21:00:00,3.28 GB,3.28 GB
2023-06-23 21:00:15,3.30 GB,3.30 GB
2023-06-23 21:00:30,3.30 GB,3.30 GB
2023-06-23 21:00:45,3.33 GB,3.33 GB
2023-06-23 21:01:00,3.32 GB,3.32 GB
2023-06-23 21:01:15,3.32 GB,3.32 GB
2023-06-23 21:01:30,3.32 GB,3.32 GB

