"Time","Messages"
2023-06-27 18:34:00,0
2023-06-27 18:34:15,0
2023-06-27 18:34:30,0
2023-06-27 18:34:45,0
2023-06-27 18:35:00,0
2023-06-27 18:35:15,0
2023-06-27 18:35:30,1
2023-06-27 18:35:45,3
2023-06-27 18:36:00,10
2023-06-27 18:36:15,10
2023-06-27 18:36:30,6
2023-06-27 18:36:45,11
2023-06-27 18:37:00,7
2023-06-27 18:37:15,4
2023-06-27 18:37:30,8
2023-06-27 18:37:45,10
2023-06-27 18:38:00,7
2023-06-27 18:38:15,15
2023-06-27 18:38:30,11
2023-06-27 18:38:45,12
2023-06-27 18:39:00,14
2023-06-27 18:39:15,6
2023-06-27 18:39:30,13
2023-06-27 18:39:45,17
2023-06-27 18:40:00,23
2023-06-27 18:40:15,41
2023-06-27 18:40:30,44
2023-06-27 18:40:45,48
2023-06-27 18:41:00,55
2023-06-27 18:41:15,30
2023-06-27 18:41:30,39
2023-06-27 18:41:45,27
2023-06-27 18:42:00,41
2023-06-27 18:42:15,39
2023-06-27 18:42:30,50
2023-06-27 18:42:45,55
2023-06-27 18:43:00,48
2023-06-27 18:43:15,54
2023-06-27 18:43:30,61
2023-06-27 18:43:45,52
2023-06-27 18:44:00,61
2023-06-27 18:44:15,67
2023-06-27 18:44:30,67
2023-06-27 18:44:45,64
2023-06-27 18:45:00,61
2023-06-27 18:45:15,72
2023-06-27 18:45:30,74
2023-06-27 18:45:45,69
2023-06-27 18:46:00,67
2023-06-27 18:46:15,76
2023-06-27 18:46:30,64
2023-06-27 18:46:45,72
2023-06-27 18:47:00,67
2023-06-27 18:47:15,81
2023-06-27 18:47:30,73
2023-06-27 18:47:45,65
2023-06-27 18:48:00,65
2023-06-27 18:48:15,76
2023-06-27 18:48:30,85
2023-06-27 18:48:45,70
2023-06-27 18:49:00,61
2023-06-27 18:49:15,77
2023-06-27 18:49:30,77
2023-06-27 18:49:45,77
2023-06-27 18:50:00,65
2023-06-27 18:50:15,74
2023-06-27 18:50:30,87
2023-06-27 18:50:45,81
2023-06-27 18:51:00,81
2023-06-27 18:51:15,80
2023-06-27 18:51:30,66
2023-06-27 18:51:45,80
2023-06-27 18:52:00,95
2023-06-27 18:52:15,64
2023-06-27 18:52:30,60
2023-06-27 18:52:45,53
2023-06-27 18:53:00,53
2023-06-27 18:53:15,47
2023-06-27 18:53:30,49
2023-06-27 18:53:45,44
2023-06-27 18:54:00,53
2023-06-27 18:54:15,43
2023-06-27 18:54:30,37
2023-06-27 18:54:45,46
2023-06-27 18:55:00,41
2023-06-27 18:55:15,36
2023-06-27 18:55:30,40
2023-06-27 18:55:45,34
2023-06-27 18:56:00,29
2023-06-27 18:56:15,26
2023-06-27 18:56:30,25
2023-06-27 18:56:45,23
2023-06-27 18:57:00,22
2023-06-27 18:57:15,16
2023-06-27 18:57:30,19
2023-06-27 18:57:45,15
2023-06-27 18:58:00,12
2023-06-27 18:58:15,12
2023-06-27 18:58:30,9
2023-06-27 18:58:45,5
2023-06-27 18:59:00,4
2023-06-27 18:59:15,2
2023-06-27 18:59:30,2
2023-06-27 18:59:45,1
2023-06-27 19:00:00,1
2023-06-27 19:00:15,0
2023-06-27 19:00:30,0
2023-06-27 19:00:45,0
2023-06-27 19:01:00,0
2023-06-27 19:01:15,0
2023-06-27 19:01:30,0
2023-06-27 19:01:45,0
2023-06-27 19:02:00,0
2023-06-27 19:02:15,0
2023-06-27 19:02:30,0
2023-06-27 19:02:45,0
2023-06-27 19:03:00,0
2023-06-27 19:03:15,0
2023-06-27 19:03:30,0
2023-06-27 19:03:45,0
2023-06-27 19:04:00,0
2023-06-27 19:04:15,0
2023-06-27 19:04:30,0
2023-06-27 19:04:45,0
2023-06-27 19:05:00,0
2023-06-27 19:05:15,0
2023-06-27 19:05:30,0
2023-06-27 19:05:45,0
2023-06-27 19:06:00,0
2023-06-27 19:06:15,0
2023-06-27 19:06:30,0
2023-06-27 19:06:45,0
2023-06-27 19:07:00,0
2023-06-27 19:07:15,0
2023-06-27 19:07:30,0
2023-06-27 19:07:45,0
2023-06-27 19:08:00,0
2023-06-27 19:08:15,0
2023-06-27 19:08:30,0
2023-06-27 19:08:45,0
2023-06-27 19:09:00,0
2023-06-27 19:09:15,0
2023-06-27 19:09:30,0
2023-06-27 19:09:45,0
2023-06-27 19:10:00,0
2023-06-27 19:10:15,0
2023-06-27 19:10:30,0
2023-06-27 19:10:45,0
2023-06-27 19:11:00,0
2023-06-27 19:11:15,0

