"Time","emqx-0","emqx-1","Total"
2023-06-27 18:34:00,0,0,0
2023-06-27 18:34:15,0,0,0
2023-06-27 18:34:30,0,0,0
2023-06-27 18:34:45,0,0,0
2023-06-27 18:35:00,802,0,802
2023-06-27 18:35:15,4430,0,4430
2023-06-27 18:35:30,15473,0,15473
2023-06-27 18:35:45,24515,0,24515
2023-06-27 18:36:00,48851,16,48867
2023-06-27 18:36:15,63533,1652,65185
2023-06-27 18:36:30,97080,3690,100770
2023-06-27 18:36:45,114401,12138,126539
2023-06-27 18:37:00,153911,18601,172512
2023-06-27 18:37:15,174576,34394,208970
2023-06-27 18:37:30,218221,45350,263571
2023-06-27 18:37:45,240988,71503,312491
2023-06-27 18:38:00,290713,86021,376734
2023-06-27 18:38:15,318298,117009,435307
2023-06-27 18:38:30,376095,133567,509662
2023-06-27 18:38:45,405770,173191,578961
2023-06-27 18:39:00,467779,194891,662670
2023-06-27 18:39:15,501311,241719,743030
2023-06-27 18:39:30,570586,266444,837030
2023-06-27 18:39:45,608990,317317,926307
2023-06-27 18:40:00,690566,343164,1033730
2023-06-27 18:40:15,734039,395946,1129985
2023-06-27 18:40:30,827214,422974,1250188
2023-06-27 18:40:45,875115,480048,1355163
2023-06-27 18:41:00,972974,511420,1484394
2023-06-27 18:41:15,1022969,578006,1600975
2023-06-27 18:41:30,1128016,612601,1740617
2023-06-27 18:41:45,1183099,683193,1866292
2023-06-27 18:42:00,1300246,718759,2019005
2023-06-27 18:42:15,1362148,789859,2152007
2023-06-27 18:42:30,1489516,825749,2315265
2023-06-27 18:42:45,1554353,902423,2456776
2023-06-27 18:43:00,1684683,941263,2625946
2023-06-27 18:43:15,1750346,1021750,2772096
2023-06-27 18:43:30,1882801,1062801,2945602
2023-06-27 18:43:45,1949054,1144853,3093907
2023-06-27 18:44:00,2081603,1186184,3267787
2023-06-27 18:44:15,2147988,1270326,3418314
2023-06-27 18:44:30,2280932,1312559,3593491
2023-06-27 18:44:45,2347305,1397652,3744957
2023-06-27 18:45:00,2480273,1440987,3921260
2023-06-27 18:45:15,2546885,1527915,4074800
2023-06-27 18:45:30,2681123,1571400,4252523
2023-06-27 18:45:45,2748933,1658366,4407299
2023-06-27 18:46:00,2884712,1701865,4586577
2023-06-27 18:46:15,2952552,1788832,4741384
2023-06-27 18:46:30,3088181,1832302,4920483
2023-06-27 18:46:45,3156030,1919308,5075338
2023-06-27 18:47:00,3291959,1962820,5254779
2023-06-27 18:47:15,3359964,2049426,5409390
2023-06-27 18:47:30,3495954,2092763,5588717
2023-06-27 18:47:45,3564045,2179390,5743435
2023-06-27 18:48:00,3700447,2222641,5923088
2023-06-27 18:48:15,3768635,2308817,6077452
2023-06-27 18:48:30,3905166,2351928,6257094
2023-06-27 18:48:45,3973341,2438106,6411447
2023-06-27 18:49:00,4109763,2481128,6590891
2023-06-27 18:49:15,4177949,2566969,6744918
2023-06-27 18:49:30,4314426,2609886,6924312
2023-06-27 18:49:45,4382562,2695644,7078206
2023-06-27 18:50:00,4518993,2738387,7257380
2023-06-27 18:50:15,4587146,2823816,7410962
2023-06-27 18:50:30,4723651,2866517,7590168
2023-06-27 18:50:45,4791745,2951883,7743628
2023-06-27 18:51:00,4927691,2994577,7922268
2023-06-27 18:51:15,4995630,3079923,8075553
2023-06-27 18:51:30,5131665,3122607,8254272
2023-06-27 18:51:45,5199592,3207666,8407258
2023-06-27 18:52:00,5331818,3250171,8581989
2023-06-27 18:52:15,5395426,3335184,8730610
2023-06-27 18:52:30,5517498,3377693,8895191
2023-06-27 18:52:45,5575023,3462483,9037506
2023-06-27 18:53:00,5687667,3504052,9191719
2023-06-27 18:53:15,5741868,3584555,9326423
2023-06-27 18:53:30,5848292,3623141,9471433
2023-06-27 18:53:45,5899854,3697543,9597397
2023-06-27 18:54:00,5999716,3733180,9732896
2023-06-27 18:54:15,6049334,3800813,9850147
2023-06-27 18:54:30,6147172,3831290,9978462
2023-06-27 18:54:45,6195336,3889873,10085209
2023-06-27 18:55:00,6286274,3918067,10204341
2023-06-27 18:55:15,6330411,3972430,10302841
2023-06-27 18:55:30,6417449,3997212,10414661
2023-06-27 18:55:45,6460654,4041300,10501954
2023-06-27 18:56:00,6544580,4061605,10606185
2023-06-27 18:56:15,6584182,4100234,10684416
2023-06-27 18:56:30,6659312,4118936,10778248
2023-06-27 18:56:45,6693742,4155723,10849465
2023-06-27 18:57:00,6759159,4173588,10932747
2023-06-27 18:57:15,6789249,4207780,10997029
2023-06-27 18:57:30,6846632,4223718,11070350
2023-06-27 18:57:45,6874449,4252382,11126831
2023-06-27 18:58:00,6927816,4264324,11192140
2023-06-27 18:58:15,6953167,4286861,11240028
2023-06-27 18:58:30,6996998,4297558,11294556
2023-06-27 18:58:45,7016955,4318758,11335713
2023-06-27 18:59:00,7049408,4329371,11378779
2023-06-27 18:59:15,7063829,4350574,11414403
2023-06-27 18:59:30,7090769,4360595,11451364
2023-06-27 18:59:45,7104103,4377876,11481979
2023-06-27 19:00:00,7130633,4386408,11517041
2023-06-27 19:00:15,7143376,4400056,11543432
2023-06-27 19:00:30,7167550,4406720,11574270
2023-06-27 19:00:45,7179543,4420053,11599596
2023-06-27 19:01:00,7202241,4426716,11628957
2023-06-27 19:01:15,7212909,4440051,11652960
2023-06-27 19:01:30,7234211,4446697,11680908
2023-06-27 19:01:45,7244891,4458941,11703832
2023-06-27 19:02:00,7266184,4464349,11730533
2023-06-27 19:02:15,7276820,4474992,11751812
2023-06-27 19:02:30,7296527,4480317,11776844
2023-06-27 19:02:45,7305853,4490983,11796836
2023-06-27 19:03:00,7324189,4496315,11820504
2023-06-27 19:03:15,7332648,4506983,11839631
2023-06-27 19:03:30,7348684,4512315,11860999
2023-06-27 19:03:45,7356540,4522978,11879518
2023-06-27 19:04:00,7370710,4528299,11899009
2023-06-27 19:04:15,7377369,4538963,11916332
2023-06-27 19:04:30,7390224,4544283,11934507
2023-06-27 19:04:45,7395893,4554932,11950825
2023-06-27 19:05:00,7406566,4560257,11966823
2023-06-27 19:05:15,7411685,4570916,11982601
2023-06-27 19:05:30,7420354,4576251,11996605
2023-06-27 19:05:45,7424359,4586916,12011275
2023-06-27 19:06:00,7432353,4592120,12024473
2023-06-27 19:06:15,7436349,4600981,12037330
2023-06-27 19:06:30,7444348,4604984,12049332
2023-06-27 19:06:45,7448018,4612974,12060992
2023-06-27 19:07:00,7453863,4616970,12070833
2023-06-27 19:07:15,7456521,4624954,12081475
2023-06-27 19:07:30,7461851,4628723,12090574
2023-06-27 19:07:45,7464516,4634701,12099217
2023-06-27 19:08:00,7469814,4637372,12107186
2023-06-27 19:08:15,7472040,4642698,12114738
2023-06-27 19:08:30,7475083,4645368,12120451
2023-06-27 19:08:45,7476416,4650698,12127114
2023-06-27 19:09:00,7479083,4653137,12132220
2023-06-27 19:09:15,7480416,4656466,12136882
2023-06-27 19:09:30,7483078,4657800,12140878
2023-06-27 19:09:45,7484414,4659783,12144197
2023-06-27 19:10:00,7487070,4660000,12147070
2023-06-27 19:10:15,7488401,4660000,12148401
2023-06-27 19:10:30,7489946,4660000,12149946
2023-06-27 19:10:45,7490000,4660000,12150000
2023-06-27 19:11:00,7490000,4660000,12150000
2023-06-27 19:11:15,7490000,4660000,12150000

