"Time","emqx-1","emqx-0","emqx-2"
2023-06-26 16:41:15,7.15,18.8,5.93
2023-06-26 16:41:30,7.15,18.8,5.93
2023-06-26 16:41:45,7.15,18.8,5.93
2023-06-26 16:42:00,7.15,18.8,5.93
2023-06-26 16:42:15,7.15,18.8,5.93
2023-06-26 16:42:30,7.15,18.8,5.93
2023-06-26 16:42:45,7.15,18.8,5.93
2023-06-26 16:43:00,7.15,18.8,5.93
2023-06-26 16:43:15,7.15,18.8,5.93
2023-06-26 16:43:30,7.15,18.8,5.93
2023-06-26 16:43:45,7.15,18.8,5.93
2023-06-26 16:44:00,7.15,18.8,5.93
2023-06-26 16:44:15,7.15,18.8,5.93
2023-06-26 16:44:30,7.15,18.8,5.93
2023-06-26 16:44:45,7.15,18.8,5.93
2023-06-26 16:45:00,7.15,18.8,5.93
2023-06-26 16:45:15,7.15,18.8,5.93
2023-06-26 16:45:30,7.15,18.8,5.93
2023-06-26 16:45:45,7.15,18.8,5.93
2023-06-26 16:46:00,7.16,18.8,5.93
2023-06-26 16:46:15,7.16,18.8,5.93
2023-06-26 16:46:30,7.16,18.8,5.93
2023-06-26 16:46:45,7.16,18.8,5.93
2023-06-26 16:47:00,7.16,18.8,5.93

