"Time","emqx-1","emqx-0","emqx-2","Used Memory"
2023-06-26 16:32:45,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:33:00,2.15 GB,2.72 GB,2.56 GB,7.43 GB
2023-06-26 16:33:15,2.15 GB,2.73 GB,2.57 GB,7.44 GB
2023-06-26 16:33:30,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:33:45,2.14 GB,2.73 GB,2.56 GB,7.44 GB
2023-06-26 16:34:00,2.15 GB,2.72 GB,2.56 GB,7.43 GB
2023-06-26 16:34:15,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:34:30,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:34:45,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:35:00,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:35:15,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:35:30,2.14 GB,2.72 GB,2.57 GB,7.43 GB
2023-06-26 16:35:45,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:36:00,2.14 GB,2.73 GB,2.56 GB,7.42 GB
2023-06-26 16:36:15,2.14 GB,2.73 GB,2.55 GB,7.42 GB
2023-06-26 16:36:30,2.13 GB,2.73 GB,2.56 GB,7.42 GB
2023-06-26 16:36:45,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:37:00,2.14 GB,2.73 GB,2.56 GB,7.42 GB
2023-06-26 16:37:15,2.14 GB,2.72 GB,2.56 GB,7.42 GB
2023-06-26 16:37:30,2.14 GB,2.72 GB,2.56 GB,7.41 GB
2023-06-26 16:37:45,2.14 GB,2.72 GB,2.56 GB,7.43 GB
2023-06-26 16:38:00,2.14 GB,2.72 GB,2.56 GB,7.42 GB
2023-06-26 16:38:15,2.14 GB,2.72 GB,2.56 GB,7.42 GB
2023-06-26 16:38:30,2.13 GB,2.73 GB,2.56 GB,7.42 GB
2023-06-26 16:38:45,2.14 GB,2.73 GB,2.56 GB,7.43 GB
2023-06-26 16:39:00,2.14 GB,2.72 GB,2.56 GB,7.42 GB
2023-06-26 16:39:15,2.15 GB,2.72 GB,2.56 GB,7.42 GB
2023-06-26 16:39:30,2.14 GB,2.73 GB,2.56 GB,7.42 GB
2023-06-26 16:39:45,2.14 GB,2.73 GB,2.56 GB,7.42 GB
