"Time","emqx-0","emqx-1","Used Memory"
2023-07-15 18:47:45,3.77 GB,3.66 GB,7.43 GB
2023-07-15 18:48:00,3.77 GB,3.66 GB,7.43 GB
2023-07-15 18:48:15,3.78 GB,3.66 GB,7.44 GB
2023-07-15 18:48:30,3.78 GB,3.66 GB,7.44 GB
2023-07-15 18:48:45,3.78 GB,3.66 GB,7.44 GB
2023-07-15 18:49:00,3.78 GB,3.66 GB,7.44 GB
2023-07-15 18:49:15,3.78 GB,3.66 GB,7.43 GB
2023-07-15 18:49:30,3.78 GB,3.67 GB,7.45 GB
2023-07-15 18:49:45,3.78 GB,3.67 GB,7.44 GB
2023-07-15 18:50:00,3.77 GB,3.68 GB,7.45 GB
2023-07-15 18:50:15,3.77 GB,3.66 GB,7.43 GB
2023-07-15 18:50:30,3.77 GB,3.66 GB,7.44 GB
2023-07-15 18:50:45,3.77 GB,3.66 GB,7.43 GB
2023-07-15 18:51:00,3.77 GB,3.67 GB,7.44 GB
2023-07-15 18:51:15,2.95 GB,3.40 GB,6.35 GB
2023-07-15 18:51:30,2.86 GB,3.44 GB,6.29 GB
2023-07-15 18:51:45,2.97 GB,3.53 GB,6.51 GB
2023-07-15 18:52:00,3.00 GB,3.55 GB,6.55 GB
2023-07-15 18:52:15,3.01 GB,3.56 GB,6.57 GB
2023-07-15 18:52:30,3.02 GB,3.60 GB,6.62 GB
2023-07-15 18:52:45,3.03 GB,3.61 GB,6.64 GB
2023-07-15 18:53:00,3.02 GB,3.64 GB,6.66 GB
2023-07-15 18:53:15,3.03 GB,3.65 GB,6.67 GB
2023-07-15 18:53:30,3.04 GB,3.66 GB,6.70 GB
2023-07-15 18:53:45,3.03 GB,3.67 GB,6.70 GB
2023-07-15 18:54:00,3.04 GB,3.67 GB,6.71 GB
2023-07-15 18:54:15,3.04 GB,3.67 GB,6.71 GB
2023-07-15 18:54:30,3.03 GB,3.68 GB,6.71 GB
2023-07-15 18:54:45,3.03 GB,3.68 GB,6.71 GB
2023-07-15 18:55:00,3.02 GB,3.67 GB,6.70 GB
2023-07-15 18:55:15,3.04 GB,3.67 GB,6.71 GB
2023-07-15 18:55:30,3.04 GB,3.66 GB,6.70 GB
2023-07-15 18:55:45,3.03 GB,3.66 GB,6.69 GB
2023-07-15 18:56:00,3.05 GB,3.67 GB,6.73 GB
2023-07-15 18:56:15,3.03 GB,3.67 GB,6.70 GB
2023-07-15 18:56:30,3.05 GB,3.69 GB,6.74 GB
2023-07-15 18:56:45,3.04 GB,3.70 GB,6.74 GB
2023-07-15 18:57:00,3.05 GB,3.70 GB,6.75 GB
2023-07-15 18:57:15,3.06 GB,3.71 GB,6.77 GB
2023-07-15 18:57:30,3.04 GB,3.70 GB,6.74 GB
2023-07-15 18:57:45,3.05 GB,3.70 GB,6.74 GB
2023-07-15 18:58:00,3.05 GB,3.70 GB,6.75 GB
2023-07-15 18:58:15,3.05 GB,3.70 GB,6.75 GB
2023-07-15 18:58:30,3.04 GB,3.70 GB,6.75 GB
2023-07-15 18:58:45,3.04 GB,3.70 GB,6.74 GB
