"Time","Bytes Sent","Bytes received"
2023-07-15 18:55:15,9014170568,9153360750
2023-07-15 18:55:30,9018595783,9157697559
2023-07-15 18:55:45,9020621773,9159679874
2023-07-15 18:56:00,9024512597,9163483085
2023-07-15 18:56:15,9026429929,9165357474
2023-07-15 18:56:30,9030203759,9169049299
2023-07-15 18:56:45,9032017721,9170825334
2023-07-15 18:57:00,9035629464,9174355746
2023-07-15 18:57:15,9037393571,9176083469
2023-07-15 18:57:30,9040804567,9179420326
2023-07-15 18:57:45,9042485786,9181065087
2023-07-15 18:58:00,9045793600,9184296469
2023-07-15 18:58:15,9047371819,9185839364
2023-07-15 18:58:30,9050505535,9188902438
2023-07-15 18:58:45,9052032629,9190394962
2023-07-15 18:59:00,9054970581,9193265882
2023-07-15 18:59:15,9056412147,9194675534
2023-07-15 18:59:30,9059231112,9197434974
2023-07-15 18:59:45,9060566116,9198742142
2023-07-15 19:00:00,9063225079,9201340978
2023-07-15 19:00:15,9064513535,9202600314
2023-07-15 19:00:30,9066972466,9205002397
2023-07-15 19:00:45,9068178494,9206181377
2023-07-15 19:01:00,9070522991,9208477957
2023-07-15 19:01:15,9071623568,9209554266
2023-07-15 19:01:30,9073800528,9211685714
2023-07-15 19:01:45,9074843775,9212708055
2023-07-15 19:02:00,9076816245,9214638184
2023-07-15 19:02:15,9077784389,9215585927
2023-07-15 19:02:30,9079638761,9217401339
2023-07-15 19:02:45,9080493430,9218239744
2023-07-15 19:03:00,9082194599,9219902865
2023-07-15 19:03:15,9082992906,9220686492
2023-07-15 19:03:30,9084482707,9222143157
2023-07-15 19:03:45,9085211819,9222858551
2023-07-15 19:04:00,9086586327,9224204746
2023-07-15 19:04:15,9087202460,9224810775
2023-07-15 19:04:30,9088424528,9226004677
2023-07-15 19:04:45,9088982374,9226554218
2023-07-15 19:05:00,9089993886,9227543548
2023-07-15 19:05:15,9090485028,9228025446
2023-07-15 19:05:30,9091370551,9228886755
2023-07-15 19:05:45,9091746775,9229256134
2023-07-15 19:06:00,9092483167,9229976397
2023-07-15 19:06:15,9092793540,9230282829
2023-07-15 19:06:30,9093319406,9230797533

