"Time","emqx-0","emqx-1"
2023-07-15 19:02:45,20042381,22178814
2023-07-15 19:03:00,20066035,22211147
2023-07-15 19:03:15,20076496,22225317
2023-07-15 19:03:30,20099162,22253916
2023-07-15 19:03:45,20109289,22266868
2023-07-15 19:04:00,20131333,22293528
2023-07-15 19:04:15,20140818,22304607
2023-07-15 19:04:30,20161970,22328725
2023-07-15 19:04:45,20171134,22338822
2023-07-15 19:05:00,20191153,22359375
2023-07-15 19:05:15,20199937,22368342
2023-07-15 19:05:30,20218066,22387909
2023-07-15 19:05:45,20224958,22396196
2023-07-15 19:06:00,20240863,22414712
2023-07-15 19:06:15,20247414,22421876
2023-07-15 19:06:30,20262302,22436704

