"Time","Bytes Sent","Bytes received"
2023-06-27 18:34:00,45,189
2023-06-27 18:34:15,45,189
2023-06-27 18:34:30,82,312
2023-06-27 18:34:45,91,352
2023-06-27 18:35:00,174458,81203
2023-06-27 18:35:15,1150909,1308015
2023-06-27 18:35:30,5318036,4326755
2023-06-27 18:35:45,9238471,9780273
2023-06-27 18:36:00,20370576,18130054
2023-06-27 18:36:15,28304617,29000979
2023-06-27 18:36:30,44691110,42829847
2023-06-27 18:36:45,58664138,59043029
2023-06-27 18:37:00,79238466,78373164
2023-06-27 18:37:15,100079737,100135461
2023-06-27 18:37:30,124622776,124898439
2023-06-27 18:37:45,152424719,152136822
2023-06-27 18:38:00,181238308,182362419
2023-06-27 18:38:15,215216207,214888378
2023-06-27 18:38:30,249503258,250462632
2023-06-27 18:38:45,288858031,288472929
2023-06-27 18:39:00,327942966,329526025
2023-06-27 18:39:15,373671043,372974327
2023-06-27 18:39:30,417175889,419401725
2023-06-27 18:39:45,468891132,468216846
2023-06-27 18:40:00,518409004,520050067
2023-06-27 18:40:15,574964485,574427588
2023-06-27 18:40:30,629923454,631662989
2023-06-27 18:40:45,692400865,691577927
2023-06-27 18:41:00,751600140,754130185
2023-06-27 18:41:15,820720622,819608004
2023-06-27 18:41:30,884568742,887494264
2023-06-27 18:41:45,959496614,958389022
2023-06-27 18:42:00,1029780747,1031775694
2023-06-27 18:42:15,1108898009,1108151879
2023-06-27 18:42:30,1185668828,1186579173
2023-06-27 18:42:45,1267540189,1266889712
2023-06-27 18:43:00,1346856787,1347425245
2023-06-27 18:43:15,1429281563,1428527668
2023-06-27 18:43:30,1508987710,1509449288
2023-06-27 18:43:45,1591604593,1590731975
2023-06-27 18:44:00,1671313787,1671705557
2023-06-27 18:44:15,1754110765,1753140169
2023-06-27 18:44:30,1833953304,1834265561
2023-06-27 18:44:45,1916787106,1915727496
2023-06-27 18:45:00,1996743077,1996966389
2023-06-27 18:45:15,2079759516,2078563049
2023-06-27 18:45:30,2159872223,2159951070
2023-06-27 18:45:45,2243052304,2241757278
2023-06-27 18:46:00,2323269671,2323247963
2023-06-27 18:46:15,2406441614,2405079424
2023-06-27 18:46:30,2486625536,2486532005
2023-06-27 18:46:45,2569851124,2568358597
2023-06-27 18:47:00,2650104443,2649858630
2023-06-27 18:47:15,2733191198,2731602174
2023-06-27 18:47:30,2813399277,2813044024
2023-06-27 18:47:45,2896618393,2894898080
2023-06-27 18:48:00,2976877064,2976377507
2023-06-27 18:48:15,3060011824,3058157779
2023-06-27 18:48:30,3140313188,3139679648
2023-06-27 18:48:45,3223485515,3221507763
2023-06-27 18:49:00,3303746775,3302986179
2023-06-27 18:49:15,3386894875,3384784352
2023-06-27 18:49:30,3467138526,3466264847
2023-06-27 18:49:45,3550255608,3548040738
2023-06-27 18:50:00,3630440294,3629449136
2023-06-27 18:50:15,3713500452,3711185442
2023-06-27 18:50:30,3793727462,3792611939
2023-06-27 18:50:45,3876737779,3874287522
2023-06-27 18:51:00,3956880461,3955639079
2023-06-27 18:51:15,4039910520,4037334363
2023-06-27 18:51:30,4120084937,4118716082
2023-06-27 18:51:45,4203020439,4200255098
2023-06-27 18:52:00,4281078254,4280172393
2023-06-27 18:52:15,4361862062,4358708433
2023-06-27 18:52:30,4433696033,4433996950
2023-06-27 18:52:45,4510790410,4507239598
2023-06-27 18:53:00,4576833710,4577258082
2023-06-27 18:53:15,4648750557,4645240238
2023-06-27 18:53:30,4710596920,4709849560
2023-06-27 18:53:45,4775827592,4772504335
2023-06-27 18:54:00,4833488187,4831578765
2023-06-27 18:54:15,4892149132,4889023333
2023-06-27 18:54:30,4946008956,4942777844
2023-06-27 18:54:45,4998047672,4994993820
2023-06-27 18:55:00,5046772180,5043438680
2023-06-27 18:55:15,5093543128,5090310758
2023-06-27 18:55:30,5137188224,5133416415
2023-06-27 18:55:45,5178120348,5175010380
2023-06-27 18:56:00,5217799208,5212883547
2023-06-27 18:56:15,5252207339,5249105115
2023-06-27 18:56:30,5286404070,5281656427
2023-06-27 18:56:45,5315871356,5312485373
2023-06-27 18:57:00,5344368493,5339798450
2023-06-27 18:57:15,5368644032,5365229361
2023-06-27 18:57:30,5392738842,5387340369
2023-06-27 18:57:45,5410688971,5407371542
2023-06-27 18:58:00,5430673854,5424266007
2023-06-27 18:58:15,5442383504,5439039523
2023-06-27 18:58:30,5456723372,5450579496
2023-06-27 18:58:45,5463787677,5460052135
2023-06-27 18:59:00,5471155591,5466259088
2023-06-27 18:59:15,5475114081,5470949576
2023-06-27 18:59:30,5478579861,5474103741
2023-06-27 18:59:45,5481330791,5477024768
2023-06-27 19:00:00,5484443961,5479804875
2023-06-27 19:00:15,5486820376,5482401957
2023-06-27 19:00:30,5489559314,5484840760
2023-06-27 19:00:45,5491838769,5487300837
2023-06-27 19:01:00,5494449170,5489650604
2023-06-27 19:01:15,5496609646,5491954415
2023-06-27 19:01:30,5499095448,5494200390
2023-06-27 19:01:45,5501160987,5496412247
2023-06-27 19:02:00,5503534415,5498505775
2023-06-27 19:02:15,5505455818,5500611501
2023-06-27 19:02:30,5507683716,5502595695
2023-06-27 19:02:45,5509489132,5504546667
2023-06-27 19:03:00,5511597276,5506436316
2023-06-27 19:03:15,5513325257,5508286737
2023-06-27 19:03:30,5515231645,5510017842
2023-06-27 19:03:45,5516904034,5511779482
2023-06-27 19:04:00,5518646935,5513395488
2023-06-27 19:04:15,5520211264,5515006800
2023-06-27 19:04:30,5521838958,5516536867
2023-06-27 19:04:45,5523312989,5518027841
2023-06-27 19:05:00,5524749839,5519412345
2023-06-27 19:05:15,5526174376,5520819598
2023-06-27 19:05:30,5527437527,5522081842
2023-06-27 19:05:45,5528761523,5523341451
2023-06-27 19:06:00,5529952592,5524522347
2023-06-27 19:06:15,5531118117,5525657864
2023-06-27 19:06:30,5532201641,5526698645
2023-06-27 19:06:45,5533261935,5527748214
2023-06-27 19:07:00,5534157050,5528655407
2023-06-27 19:07:15,5535124654,5529564670
2023-06-27 19:07:30,5535953101,5530392125
2023-06-27 19:07:45,5536743690,5531159148
2023-06-27 19:08:00,5537469575,5531857736
2023-06-27 19:08:15,5538163000,5532540446
2023-06-27 19:08:30,5538689738,5533095686
2023-06-27 19:08:45,5539300984,5533647718
2023-06-27 19:09:00,5539772611,5534133367
2023-06-27 19:09:15,5540206752,5534544712
2023-06-27 19:09:30,5540577450,5534900446
2023-06-27 19:09:45,5540892872,5535224086
2023-06-27 19:10:00,5541160998,5535432916
2023-06-27 19:10:15,5541300231,5535626585
2023-06-27 19:10:30,5541451191,5535747056
2023-06-27 19:10:45,5541474222,5535785432
2023-06-27 19:11:00,5541487840,5535799050
2023-06-27 19:11:15,5541505276,5535816486

