"Time","emqx-0","emqx-1","emqx-3","emqx-2","Used Memory"
2023-06-27 13:38:45,1.86 GB,2.51 GB,2.34 GB,2.28 GB,8.98 GB
2023-06-27 13:39:00,1.86 GB,2.51 GB,2.34 GB,2.27 GB,8.97 GB
2023-06-27 13:39:15,1.85 GB,2.51 GB,2.33 GB,2.28 GB,8.97 GB
2023-06-27 13:39:30,1.86 GB,2.51 GB,2.34 GB,2.29 GB,8.99 GB
2023-06-27 13:39:45,1.87 GB,2.52 GB,2.35 GB,2.29 GB,9.03 GB
2023-06-27 13:40:00,1.88 GB,2.53 GB,2.36 GB,2.30 GB,9.06 GB
2023-06-27 13:40:15,1.89 GB,2.53 GB,2.37 GB,2.31 GB,9.11 GB
2023-06-27 13:40:30,1.91 GB,2.55 GB,2.38 GB,2.33 GB,9.17 GB
2023-06-27 13:40:45,1.91 GB,2.56 GB,2.40 GB,2.34 GB,9.21 GB
2023-06-27 13:41:00,1.93 GB,2.57 GB,2.40 GB,2.34 GB,9.25 GB
2023-06-27 13:41:15,1.95 GB,2.57 GB,2.42 GB,2.34 GB,9.28 GB
2023-06-27 13:41:30,1.95 GB,2.57 GB,2.41 GB,2.37 GB,9.31 GB
2023-06-27 13:41:45,1.97 GB,2.59 GB,2.43 GB,2.38 GB,9.35 GB
2023-06-27 13:42:00,1.97 GB,2.58 GB,2.43 GB,2.38 GB,9.36 GB
2023-06-27 13:42:15,1.98 GB,2.60 GB,2.47 GB,2.39 GB,9.45 GB
2023-06-27 13:42:30,1.98 GB,2.62 GB,2.48 GB,2.42 GB,9.50 GB
2023-06-27 13:42:45,1.98 GB,2.64 GB,2.49 GB,2.43 GB,9.54 GB
2023-06-27 13:43:00,1.98 GB,2.65 GB,2.51 GB,2.44 GB,9.57 GB
2023-06-27 13:43:15,2.00 GB,2.66 GB,2.52 GB,2.45 GB,9.62 GB
2023-06-27 13:43:30,2.00 GB,2.66 GB,2.51 GB,2.45 GB,9.63 GB
2023-06-27 13:43:45,2.02 GB,2.67 GB,2.52 GB,2.46 GB,9.67 GB
2023-06-27 13:44:00,2.03 GB,2.67 GB,2.52 GB,2.46 GB,9.69 GB
2023-06-27 13:44:15,2.06 GB,2.69 GB,2.53 GB,2.47 GB,9.75 GB
2023-06-27 13:44:30,2.07 GB,2.72 GB,2.53 GB,2.50 GB,9.81 GB
2023-06-27 13:44:45,2.10 GB,2.73 GB,2.57 GB,2.50 GB,9.90 GB
2023-06-27 13:45:00,2.09 GB,2.73 GB,2.61 GB,2.51 GB,9.94 GB
2023-06-27 13:45:15,2.10 GB,2.74 GB,2.61 GB,2.52 GB,9.97 GB
2023-06-27 13:45:30,2.10 GB,2.74 GB,2.61 GB,2.53 GB,9.98 GB
2023-06-27 13:45:45,2.13 GB,2.76 GB,2.63 GB,2.54 GB,10.1 GB
2023-06-27 13:46:00,2.14 GB,2.76 GB,2.62 GB,2.57 GB,10.1 GB
2023-06-27 13:46:15,2.14 GB,2.76 GB,2.63 GB,2.58 GB,10.1 GB
2023-06-27 13:46:30,2.14 GB,2.76 GB,2.63 GB,2.58 GB,10.1 GB
2023-06-27 13:46:45,2.15 GB,2.78 GB,2.62 GB,2.58 GB,10.1 GB
2023-06-27 13:47:00,2.15 GB,2.77 GB,2.64 GB,2.59 GB,10.2 GB
2023-06-27 13:47:15,2.14 GB,2.78 GB,2.64 GB,2.59 GB,10.2 GB
2023-06-27 13:47:30,2.14 GB,2.80 GB,2.64 GB,2.60 GB,10.2 GB
