"Time","emqx-0","emqx-1","Total"
2023-06-26 15:37:45,1189507,1423810,2613317
2023-06-26 15:38:00,1224969,1502324,2727293
2023-06-26 15:38:15,1295967,1541632,2837599
2023-06-26 15:38:30,1331481,1620166,2951647
2023-06-26 15:38:45,1402444,1659249,3061693
2023-06-26 15:39:00,1437929,1737365,3175294
2023-06-26 15:39:15,1508854,1776452,3285306
2023-06-26 15:39:30,1544280,1854612,3398892
2023-06-26 15:39:45,1614868,1893677,3508545
2023-06-26 15:40:00,1650109,1971833,3621942
2023-06-26 15:40:15,1720567,2010919,3731486
2023-06-26 15:40:30,1755701,2089066,3844767
2023-06-26 15:40:45,1825855,2128064,3953919
2023-06-26 15:41:00,1860930,2206216,4067146
2023-06-26 15:41:15,1931085,2245202,4176287
2023-06-26 15:41:30,1966190,2322957,4289147
2023-06-26 15:41:45,2036329,2361839,4398168
2023-06-26 15:42:00,2071411,2439607,4511018
2023-06-26 15:42:15,2141371,2478470,4619841
2023-06-26 15:42:30,2176286,2556252,4732538
2023-06-26 15:42:45,2246021,2595098,4841119
2023-06-26 15:43:00,2280922,2672750,4953672
2023-06-26 15:43:15,2350656,2711420,5062076
2023-06-26 15:43:30,2385561,2788803,5174364
2023-06-26 15:43:45,2455323,2827491,5282814
2023-06-26 15:44:00,2490229,2904682,5394911
2023-06-26 15:44:15,2560028,2943147,5503175
2023-06-26 15:44:30,2594958,3020151,5615109
2023-06-26 15:44:45,2664664,3058642,5723306
2023-06-26 15:45:00,2699376,3135629,5835005
2023-06-26 15:45:15,2768719,3174112,5942831
2023-06-26 15:45:30,2803396,3251103,6054499
2023-06-26 15:45:45,2872681,3289577,6162258
2023-06-26 15:46:00,2907109,3366057,6273166
2023-06-26 15:46:15,2974843,3402569,6377412
2023-06-26 15:46:30,3007848,3472774,6480622
2023-06-26 15:46:45,3070386,3506798,6577184
2023-06-26 15:47:00,3100263,3570941,6671204
2023-06-26 15:47:15,3157857,3601724,6759581
2023-06-26 15:47:30,3186350,3656333,6842683
2023-06-26 15:47:45,3243293,3681252,6924545
2023-06-26 15:48:00,3270284,3727334,6997618
2023-06-26 15:48:15,3323351,3748177,7071528
2023-06-26 15:48:30,3349438,3785386,7134824
2023-06-26 15:48:45,3399242,3802035,7201277
2023-06-26 15:49:00,3422294,3835320,7257614
2023-06-26 15:49:15,3460645,3851958,7312603
2023-06-26 15:49:30,3478322,3883750,7362072
2023-06-26 15:49:45,3508621,3898457,7407078
2023-06-26 15:50:00,3522968,3924323,7447291
2023-06-26 15:50:15,3550496,3934061,7484557
2023-06-26 15:50:30,3563346,3951175,7514521
2023-06-26 15:50:45,3584961,3958760,7543721
2023-06-26 15:51:00,3594084,3972766,7566850
2023-06-26 15:51:15,3610304,3979421,7589725
2023-06-26 15:51:30,3616969,3992762,7609731
2023-06-26 15:51:45,3630304,3999417,7629721
2023-06-26 15:52:00,3636969,4012758,7649727
2023-06-26 15:52:15,3650304,4019417,7669721
2023-06-26 15:52:30,3656968,4032755,7689723
2023-06-26 15:52:45,3670294,4039417,7709711
2023-06-26 15:53:00,3676934,4052751,7729685
2023-06-26 15:53:15,3690268,4059415,7749683
2023-06-26 15:53:30,3696923,4072747,7769670
2023-06-26 15:53:45,3710243,4079399,7789642
2023-06-26 15:54:00,3716902,4092719,7809621
2023-06-26 15:54:15,3730063,4099393,7829456
2023-06-26 15:54:30,3736031,4112695,7848726
2023-06-26 15:54:45,3746838,4119352,7866190
2023-06-26 15:55:00,3752166,4132314,7884480
2023-06-26 15:55:15,3762836,4138094,7900930
2023-06-26 15:55:30,3768165,4148785,7916950
2023-06-26 15:55:45,3778532,4154116,7932648
2023-06-26 15:56:00,3783031,4164785,7947816
2023-06-26 15:56:15,3791093,4170116,7961209
2023-06-26 15:56:30,3795092,4180281,7975373
2023-06-26 15:56:45,3803100,4184612,7987712
2023-06-26 15:57:00,3807099,4192617,7999716
2023-06-26 15:57:15,3815098,4196400,8011498
2023-06-26 15:57:30,3819096,4202417,8021513
2023-06-26 15:57:45,3827093,4205082,8032175
2023-06-26 15:58:00,3830886,4210417,8041303
2023-06-26 15:58:15,3836942,4213082,8050024
2023-06-26 15:58:30,3839614,4218417,8058031
2023-06-26 15:58:45,3844332,4221082,8065414
2023-06-26 15:59:00,3845918,4226417,8072335
2023-06-26 15:59:15,3848575,4229069,8077644
2023-06-26 15:59:30,3849541,4234400,8083941
2023-06-26 15:59:45,3850000,4237069,8087069
2023-06-26 16:00:00,3850000,4242308,8092308
2023-06-26 16:00:15,3850000,4244396,8094396
2023-06-26 16:00:30,3850000,4247283,8097283
2023-06-26 16:00:45,3850000,4247283,8097283
2023-06-26 16:01:00,3850000,4249978,8099978
2023-06-26 16:01:15,3850000,4250000,8100000
2023-06-26 16:01:30,3850000,4250000,8100000
2023-06-26 16:01:45,3850000,4250000,8100000
2023-06-26 16:02:00,3850000,4250000,8100000
2023-06-26 16:02:15,3850000,4250000,8100000
2023-06-26 16:02:30,3850000,4250000,8100000
2023-06-26 16:02:45,3850000,4250000,8100000
2023-06-26 16:03:00,3850000,4250000,8100000
2023-06-26 16:03:15,3850000,4250000,8100000
2023-06-26 16:03:30,3850000,4250000,8100000
2023-06-26 16:03:45,3850000,4250000,8100000
2023-06-26 16:04:00,3850000,4250000,8100000
2023-06-26 16:04:15,3850000,4250000,8100000
2023-06-26 16:04:30,3850000,4250000,8100000

